uid	|	name	|	type	|	rank	|	
1159471	|	Tartaraphisa	|	synonym	|		|	
1159470	|	Sinaphidumidae	|	synonym	|		|	
1159477	|	Sinaphidium	|	synonym	|		|	
1159477	|	Sinaphis	|	synonym	|		|	
1159480	|	Xilutiancallis	|	synonym	|		|	
1159483	|	Canadaphidinae	|	synonym	|		|	
1159483	|	Canadaphidoidea	|	synonym	|		|	
1159490	|	Alloambria infeUcts	|	synonym	|		|	
1159490	|	Alloambria infeligris	|	synonym	|		|	
1159499	|	Pseudambria jongirostrih	|	synonym	|		|	
1221729	|	Mesoviparosiphum	|	synonym	|		|	
1221729	|	Paroviparosiphum	|	synonym	|		|	
1159523	|	Mesoviparosiphum tuanwangenes	|	synonym	|		|	
1159523	|	Mesoviparosiphum tuanwanse	|	synonym	|		|	
1159529	|	Paroviparosiphum eamptotropum	|	synonym	|		|	
1159529	|	Paroviparosiphum eamptotropu	|	synonym	|		|	
1159532	|	Oviparosiphum optimum	|	synonym	|		|	
1159534	|	Mesoviparosiphum maleum	|	synonym	|		|	
1221729	|	Paroiparosiphum	|	synonym	|		|	
1221729	|	Parovirarosiphum	|	synonym	|		|	
1159538	|	Aphidii	|	synonym	|		|	
1159538	|	Aphidae	|	synonym	|		|	
1159538	|	Aphiidae	|	synonym	|		|	
1159538	|	Aphidina	|	synonym	|		|	
1159553	|	Typea	|	synonym	|		|	
1159538	|	Aphides	|	synonym	|		|	
1159565	|	Fushunocallites	|	synonym	|		|	
1159573	|	Leptocallites xilutianensis	|	synonym	|		|	
1159538	|	Cryptosiphonea	|	synonym	|		|	
1159538	|	Cryptosiphonini	|	synonym	|		|	
1159538	|	Aphidiae	|	synonym	|		|	
1159588	|	Aiceonini	|	synonym	|		|	
1159588	|	Aiceonini	|	synonym	|		|	
1159594	|	Siciforda	|	synonym	|		|	
1159598	|	Aiceona (Aiceona) actinodaphni	|	synonym	|		|	
1159598	|	Aiceona actinodaphis	|	synonym	|		|	
1159614	|	Aiceona litseae	|	synonym	|		|	
1159616	|	Anoecini	|	synonym	|		|	
1159616	|	Anoeciina	|	synonym	|		|	
1159616	|	Anoeciini	|	synonym	|		|	
1159616	|	Anoecina	|	synonym	|		|	
1159624	|	Cornifex	|	synonym	|		|	
1159624	|	Neanoecia	|	synonym	|		|	
1159624	|	Anoecia (Subanoecia)	|	synonym	|		|	
1159624	|	Anooecia	|	synonym	|		|	
1159636	|	Anoecia cornii	|	synonym	|		|	
1159636	|	Anoecia agrostidis	|	synonym	|		|	
1159636	|	Schizoneura corni	|	synonym	|		|	
1159636	|	Anoecia disculigera	|	synonym	|		|	
1159636	|	Schizoneura graminis	|	synonym	|		|	
1159636	|	Schizoneura obscura	|	synonym	|		|	
1159643	|	Eriosoma querci	|	synonym	|		|	
1159643	|	Rhizobius eleusinis	|	synonym	|		|	
1159643	|	Eriosoma fungicola	|	synonym	|		|	
1159643	|	Schizoneura panicola	|	synonym	|		|	
1159656	|	Anoecia nemoralis	|	synonym	|		|	
1159667	|	Anoecia (Anoecia) cerealium	|	synonym	|		|	
1159667	|	Anoecia (Anoecia) kochii	|	synonym	|		|	
1159667	|	Anoecia (Anoecia) radicicola	|	synonym	|		|	
1159667	|	Colopha rossica	|	synonym	|		|	
1159667	|	Schizonevra venusta	|	synonym	|		|	
1159667	|	Anoecia corni viridis	|	synonym	|		|	
1159616	|	Anoeciea	|	synonym	|		|	
1159616	|	Anoeciidae	|	synonym	|		|	
1159616	|	Anoecia	|	synonym	|		|	
1159687	|	Crypturaphidinae	|	synonym	|		|	
1159687	|	Crypturaphidina	|	synonym	|		|	
1159696	|	Bradyaphis	|	synonym	|		|	
1159701	|	Symydobii	|	synonym	|		|	
1159701	|	Boernerininae	|	synonym	|		|	
1159701	|	Symydobiea	|	synonym	|		|	
1159701	|	Symydobiina	|	synonym	|		|	
1159713	|	Symydobius alter	|	synonym	|		|	
1159713	|	Aphis fuscipennis	|	synonym	|		|	
1159713	|	Symydobius piceus	|	synonym	|		|	
1159713	|	Aphis tenuinervis	|	synonym	|		|	
1159707	|	Mecynaphis	|	synonym	|		|	
1220640	|	Euceraphis japonicus	|	synonym	|		|	
1220640	|	Symydobius (Symydobius) alniarius alni	|	synonym	|		|	
1159707	|	Symdobius	|	synonym	|		|	
1159725	|	Symydobius (Antisymydobius)	|	synonym	|		|	
1159727	|	Symydobius (Antisymydobius) carefasciatus	|	synonym	|		|	
1159732	|	Betulaphis occidentalis	|	synonym	|		|	
1159732	|	Betulaphis aureus	|	synonym	|		|	
1159732	|	Aphis inhaerens	|	synonym	|		|	
1159732	|	Betulaphis japonica	|	synonym	|		|	
