id	description	type
1159212	Terrestrial.	habitat
1159213	Terrestrial.	habitat
1159214	Terrestrial.	habitat
1159215	Terrestrial.	habitat
1159216	Terrestrial.	habitat
1159217	Terrestrial.	habitat
1159218	Terrestrial.	habitat
1159219	Terrestrial.	habitat
1159220	Terrestrial.	habitat
1159221	Terrestrial.	habitat
1159222	Terrestrial.	habitat
1159223	Terrestrial.	habitat
1159224	Terrestrial.	habitat
1159225	Terrestrial.	habitat
1159226	Terrestrial.	habitat
1159227	Terrestrial.	habitat
1159228	Terrestrial.	habitat
1159229	Terrestrial.	habitat
1159230	Terrestrial.	habitat
1159231	Terrestrial.	habitat
1159232	Terrestrial.	habitat
1159233	Terrestrial.	habitat
1159234	Terrestrial.	habitat
1159235	Terrestrial.	habitat
1159236	Terrestrial.	habitat
1159237	Terrestrial.	habitat
1159238	Terrestrial.	habitat
1159239	Terrestrial.	habitat
1159240	Terrestrial.	habitat
1159241	Terrestrial.	habitat
1159242	Terrestrial.	habitat
1159243	Terrestrial.	habitat
1159244	Terrestrial.	habitat
1159245	Terrestrial.	habitat
1159246	Terrestrial.	habitat
1159247	Terrestrial.	habitat
1159248	Terrestrial.	habitat
1159249	Terrestrial.	habitat
1159250	Terrestrial.	habitat
1159251	Terrestrial.	habitat
1159252	Terrestrial.	habitat
1159253	Terrestrial.	habitat
1159254	Terrestrial.	habitat
1159255	Terrestrial.	habitat
1159256	Terrestrial.	habitat
1159257	Terrestrial.	habitat
1159258	Terrestrial.	habitat
1159259	Terrestrial.	habitat
1159260	Terrestrial.	habitat
1159261	Terrestrial.	habitat
1159262	Terrestrial.	habitat
1159263	Terrestrial.	habitat
1159264	Terrestrial.	habitat
1159265	Terrestrial.	habitat
1159266	Terrestrial.	habitat
1159267	Terrestrial.	habitat
1159268	Terrestrial.	habitat
1159269	Terrestrial.	habitat
1159270	Terrestrial.	habitat
1159271	Terrestrial.	habitat
1159272	Terrestrial.	habitat
1159273	Terrestrial.	habitat
1159274	Terrestrial.	habitat
1159275	Terrestrial.	habitat
1159276	Terrestrial.	habitat
1159277	Terrestrial.	habitat
1159278	Terrestrial.	habitat
1159279	Terrestrial.	habitat
1159280	Terrestrial.	habitat
1159281	Terrestrial.	habitat
1159282	Terrestrial.	habitat
1159283	Terrestrial.	habitat
1159284	Terrestrial.	habitat
1159285	Terrestrial.	habitat
1159286	Terrestrial.	habitat
1159287	Terrestrial.	habitat
1159288	Terrestrial.	habitat
1159289	Terrestrial.	habitat
1159290	Terrestrial.	habitat
1159291	Terrestrial.	habitat
1159292	Terrestrial.	habitat
1159293	Terrestrial.	habitat
1159294	Terrestrial.	habitat
1159295	Terrestrial.	habitat
1159296	Terrestrial.	habitat
1159297	Terrestrial.	habitat
1159298	Terrestrial.	habitat
1159299	Terrestrial.	habitat
1159300	Terrestrial.	habitat
1159301	Terrestrial.	habitat
1159302	Terrestrial.	habitat
1159303	Terrestrial.	habitat
1159304	Terrestrial.	habitat
1159305	Terrestrial.	habitat
1159306	Terrestrial.	habitat
1159307	Terrestrial.	habitat
1159308	Terrestrial.	habitat
1159309	Terrestrial.	habitat
1159310	Terrestrial.	habitat
1159311	Terrestrial.	habitat
1159314	Terrestrial.	habitat
1159315	Terrestrial.	habitat
1159318	Terrestrial.	habitat
1159319	Terrestrial.	habitat
1159320	Terrestrial.	habitat
1159321	Terrestrial.	habitat
1159322	Terrestrial.	habitat
1159323	Terrestrial.	habitat
1159324	Terrestrial.	habitat
1159325	Terrestrial.	habitat
1159326	Terrestrial.	habitat
1159327	Terrestrial.	habitat
1159328	Terrestrial.	habitat
1159329	Terrestrial.	habitat
1159330	Terrestrial.	habitat
1159331	Terrestrial.	habitat
1159332	Terrestrial.	habitat
1159333	Terrestrial.	habitat
1159334	Terrestrial.	habitat
1159335	Terrestrial.	habitat
1159336	Terrestrial.	habitat
1159338	Terrestrial.	habitat
1159339	Terrestrial.	habitat
1159340	Terrestrial.	habitat
1159341	Terrestrial.	habitat
1159342	Terrestrial.	habitat
1159343	Terrestrial.	habitat
1159344	Terrestrial.	habitat
1159345	Terrestrial.	habitat
1159346	Terrestrial.	habitat
1159347	Terrestrial.	habitat
1159348	Terrestrial.	habitat
1159349	Terrestrial.	habitat
1159351	Terrestrial.	habitat
1159352	Terrestrial.	habitat
1159353	Terrestrial.	habitat
1159354	Terrestrial.	habitat
1159355	Terrestrial.	habitat
1159356	Terrestrial.	habitat
1159357	Terrestrial.	habitat
1159358	Terrestrial.	habitat
1159359	Terrestrial.	habitat
1159360	Terrestrial.	habitat
1159361	Terrestrial.	habitat
1159362	Terrestrial.	habitat
1159364	Terrestrial.	habitat
1159365	Terrestrial.	habitat
1159366	Terrestrial.	habitat
1159367	Terrestrial.	habitat
1159368	Terrestrial.	habitat
1159369	Terrestrial.	habitat
1159370	Terrestrial.	habitat
1159371	Terrestrial.	habitat
1159372	Terrestrial.	habitat
1159373	Terrestrial.	habitat
1159374	Terrestrial.	habitat
1159375	Terrestrial.	habitat
1159376	Terrestrial.	habitat
1159377	Terrestrial.	habitat
1159378	Terrestrial.	habitat
1159379	Terrestrial.	habitat
1159380	Terrestrial.	habitat
1159381	Terrestrial.	habitat
1159382	Terrestrial.	habitat
1159383	Terrestrial.	habitat
1159384	Terrestrial.	habitat
1159385	Terrestrial.	habitat
1159386	Terrestrial.	habitat
1159387	Terrestrial.	habitat
1159388	Terrestrial.	habitat
1159389	Terrestrial.	habitat
1159390	Terrestrial.	habitat
1159391	Terrestrial.	habitat
1159392	Terrestrial.	habitat
1159393	Terrestrial.	habitat
1159394	Terrestrial.	habitat
1159395	Terrestrial.	habitat
1159396	Terrestrial.	habitat
1159397	Terrestrial.	habitat
1159398	Terrestrial.	habitat
1159399	Terrestrial.	habitat
1159400	Terrestrial.	habitat
1159401	Terrestrial.	habitat
1159402	Terrestrial.	habitat
1159403	Terrestrial.	habitat
1159404	Terrestrial.	habitat
1159405	Terrestrial.	habitat
1159406	Terrestrial.	habitat
1159407	Terrestrial.	habitat
1159408	Terrestrial.	habitat
1159409	Terrestrial.	habitat
1159410	Terrestrial.	habitat
1159411	Terrestrial.	habitat
1159412	Terrestrial.	habitat
1159413	Terrestrial.	habitat
1159414	Terrestrial.	habitat
1159415	Terrestrial.	habitat
1159416	Terrestrial.	habitat
1159417	Terrestrial.	habitat
1159418	Terrestrial.	habitat
1159419	Terrestrial.	habitat
1159420	Terrestrial.	habitat
1159421	Terrestrial.	habitat
1159422	Terrestrial.	habitat
1159423	Terrestrial.	habitat
1159424	Terrestrial.	habitat
1159425	Terrestrial.	habitat
1159426	Terrestrial.	habitat
1159427	Terrestrial.	habitat
1159428	Terrestrial.	habitat
1159429	Terrestrial.	habitat
1159430	Terrestrial.	habitat
1159431	Terrestrial.	habitat
1159432	Terrestrial.	habitat
1159433	Terrestrial.	habitat
1159434	Terrestrial.	habitat
1159435	Terrestrial.	habitat
1159438	Terrestrial.	habitat
1159439	Terrestrial.	habitat
1159440	Terrestrial.	habitat
1159441	Terrestrial.	habitat
1159442	Terrestrial.	habitat
1159443	Terrestrial.	habitat
1159444	Terrestrial.	habitat
1159445	Terrestrial.	habitat
1159446	Terrestrial.	habitat
1159447	Terrestrial.	habitat
1159448	Terrestrial.	habitat
1159449	Terrestrial.	habitat
1159450	Terrestrial.	habitat
1159451	Terrestrial.	habitat
1159452	Terrestrial.	habitat
1159453	Terrestrial.	habitat
1159454	Terrestrial.	habitat
1159455	Terrestrial.	habitat
1159456	Terrestrial.	habitat
1159457	Terrestrial.	habitat
1159458	Terrestrial.	habitat
1159459	Terrestrial.	habitat
1159460	Terrestrial.	habitat
1159461	Terrestrial.	habitat
1159462	Terrestrial.	habitat
1159463	Terrestrial.	habitat
1159464	Terrestrial.	habitat
1159465	Terrestrial.	habitat
1159466	Terrestrial.	habitat
1159467	Terrestrial.	habitat
1159468	Terrestrial.	habitat
1159469	Terrestrial.	habitat
1159470	Terrestrial.	habitat
1159471	Terrestrial.	habitat
1159472	Terrestrial.	habitat
1159473	Terrestrial.	habitat
1159474	Terrestrial.	habitat
1159475	Terrestrial.	habitat
1159476	Terrestrial.	habitat
1159477	Terrestrial.	habitat
1159478	Terrestrial.	habitat
1159479	Terrestrial.	habitat
1159480	Terrestrial.	habitat
1159481	Terrestrial.	habitat
1159482	Terrestrial.	habitat
1159483	Terrestrial.	habitat
1159484	Terrestrial.	habitat
1159485	Terrestrial.	habitat
1159486	Terrestrial.	habitat
1159487	Terrestrial.	habitat
1159488	Terrestrial.	habitat
1159489	Terrestrial.	habitat
1159490	Terrestrial.	habitat
1159491	Terrestrial.	habitat
1159492	Terrestrial.	habitat
1159493	Terrestrial.	habitat
1159494	Terrestrial.	habitat
1159495	Terrestrial.	habitat
1159496	Terrestrial.	habitat
1159497	Terrestrial.	habitat
1159498	Terrestrial.	habitat
1159499	Terrestrial.	habitat
1159500	Terrestrial.	habitat
1159501	Terrestrial.	habitat
1159502	Terrestrial.	habitat
1159503	Terrestrial.	habitat
1159504	Terrestrial.	habitat
1159505	Terrestrial.	habitat
1159506	Terrestrial.	habitat
1159507	Terrestrial.	habitat
1159508	Terrestrial.	habitat
1159509	Terrestrial.	habitat
1159510	Terrestrial.	habitat
1159511	Terrestrial.	habitat
1159512	Terrestrial.	habitat
1159513	Terrestrial.	habitat
1159514	Terrestrial.	habitat
1159515	Terrestrial.	habitat
1159516	Terrestrial.	habitat
1159517	Terrestrial.	habitat
1159518	Terrestrial.	habitat
1159519	Terrestrial.	habitat
1159520	Terrestrial.	habitat
1159521	Terrestrial.	habitat
1159522	Terrestrial.	habitat
1159523	Terrestrial.	habitat
1159524	Terrestrial.	habitat
1159525	Terrestrial.	habitat
1159526	Terrestrial.	habitat
1159527	Terrestrial.	habitat
1159528	Terrestrial.	habitat
1159529	Terrestrial.	habitat
1159530	Terrestrial.	habitat
1159531	Terrestrial.	habitat
1159532	Terrestrial.	habitat
1159533	Terrestrial.	habitat
1159534	Terrestrial.	habitat
1159535	Terrestrial.	habitat
1159536	Terrestrial.	habitat
1159537	Terrestrial.	habitat
1159538	Terrestrial.	habitat
1159539	Terrestrial.	habitat
1159540	Terrestrial.	habitat
1159541	Terrestrial.	habitat
1159542	Terrestrial.	habitat
1159543	Terrestrial.	habitat
1159544	Terrestrial.	habitat
1159545	Terrestrial.	habitat
1159546	Terrestrial.	habitat
1159547	Terrestrial.	habitat
1159548	Terrestrial.	habitat
1159549	Terrestrial.	habitat
1159550	Terrestrial.	habitat
1159551	Terrestrial.	habitat
1159552	Terrestrial.	habitat
1159553	Terrestrial.	habitat
1159554	Terrestrial.	habitat
1159555	Terrestrial.	habitat
1159556	Terrestrial.	habitat
1159557	Terrestrial.	habitat
1159558	Terrestrial.	habitat
1159559	Terrestrial.	habitat
1159560	Terrestrial.	habitat
1159561	Terrestrial.	habitat
1159562	Terrestrial.	habitat
1159563	Terrestrial.	habitat
1159564	Terrestrial.	habitat
1159565	Terrestrial.	habitat
1159566	Terrestrial.	habitat
1159567	Terrestrial.	habitat
1159568	Terrestrial.	habitat
1159569	Terrestrial.	habitat
1159570	Terrestrial.	habitat
1159571	Terrestrial.	habitat
1159572	Terrestrial.	habitat
1159573	Terrestrial.	habitat
1159574	Terrestrial.	habitat
1159575	Terrestrial.	habitat
1159576	Terrestrial.	habitat
1159577	Terrestrial.	habitat
1159578	Terrestrial.	habitat
1159579	Terrestrial.	habitat
1159581	Terrestrial.	habitat
1159582	Terrestrial.	habitat
1159583	Terrestrial.	habitat
1159584	Terrestrial.	habitat
1159585	Terrestrial.	habitat
1159586	Terrestrial.	habitat
1159587	Terrestrial.	habitat
1159588	Terrestrial.	habitat
1159589	Terrestrial.	habitat
1159590	Terrestrial.	habitat
1159591	Terrestrial.	habitat
1159592	Terrestrial.	habitat
1159593	Terrestrial.	habitat
1159594	Terrestrial.	habitat
1159595	Terrestrial.	habitat
1159596	Terrestrial.	habitat
1159597	Terrestrial.	habitat
1159598	Terrestrial.	habitat
1159599	Terrestrial.	habitat
1159600	Terrestrial.	habitat
1159601	Terrestrial.	habitat
1159602	Terrestrial.	habitat
1159603	Terrestrial.	habitat
1159604	Terrestrial.	habitat
1159605	Terrestrial.	habitat
1159606	Terrestrial.	habitat
1159607	Terrestrial.	habitat
1159608	Terrestrial.	habitat
1159609	Terrestrial.	habitat
1159610	Terrestrial.	habitat
1159611	Terrestrial.	habitat
1159612	Terrestrial.	habitat
