id	isExtinct	livingPeriod
1159253	FALSE	
1159254	FALSE	
1159255	FALSE	
1159256	FALSE	
1159257	FALSE	
1159258	FALSE	
1159259	FALSE	
1159260	FALSE	
1159261	FALSE	
1159262	FALSE	
1159263	FALSE	
1159264	FALSE	
1159265	FALSE	
1159266	FALSE	
1159267	FALSE	
1159268	FALSE	
1159269	FALSE	
1159270	FALSE	
1159271	FALSE	
1159272	FALSE	
1159273	FALSE	
1159274	FALSE	
1159275	FALSE	
1159276	FALSE	
1159277	FALSE	
1159278	FALSE	
1159279	FALSE	
1159280	FALSE	
1159281	FALSE	
1159282	FALSE	
1159283	FALSE	
1159284	FALSE	
1159285	FALSE	
1159286	FALSE	
1159287	FALSE	
1159288	FALSE	
1159289	FALSE	
1159290	FALSE	
1159291	FALSE	
1159292	FALSE	
1159293	FALSE	
1159294	FALSE	
1159295	FALSE	
1159296	FALSE	
1159297	FALSE	
1159298	FALSE	
1159299	FALSE	
1159300	TRUE	unspecified
1159301	FALSE	
1159302	FALSE	
1159303	FALSE	
1159304	FALSE	
1159305	FALSE	
1159306	FALSE	
1159307	FALSE	
1159308	FALSE	
1159309	FALSE	
1159310	FALSE	
1159311	FALSE	
1159314	FALSE	
1159315	FALSE	
1159318	FALSE	
1159319	FALSE	
1159320	FALSE	
1159321	FALSE	
1159322	FALSE	
1159323	FALSE	
1159324	FALSE	
1159325	FALSE	
1159326	FALSE	
1159327	FALSE	
1159328	FALSE	
1159329	FALSE	
1159330	FALSE	
1159331	FALSE	
1159332	FALSE	
1159333	FALSE	
1159334	FALSE	
1159335	FALSE	
1159336	FALSE	
1159338	FALSE	
1159339	FALSE	
1159340	FALSE	
1159341	FALSE	
1159342	FALSE	
1159343	FALSE	
1159344	FALSE	
1159345	FALSE	
1159346	FALSE	
1159347	FALSE	
1159348	FALSE	
1159349	FALSE	
1159351	FALSE	
1159352	FALSE	
1159353	FALSE	
1159354	FALSE	
1159355	FALSE	
1159356	FALSE	
1159357	FALSE	
1159358	FALSE	
1159359	FALSE	
1159360	FALSE	
1159361	FALSE	
1159362	FALSE	
1159364	FALSE	
1159365	FALSE	
1159366	FALSE	
