id	typeStatus	typeDesignatedBy	scientificName	institutionCode	catalogNumber	locality	sex	recordedBy	verbatimEventDate	verbatimLongitude	verbatimLatitude
1161033	typeSpecies	Scudder. 1890. The Tertiary insects of North America. Report of the United States Geological Survey of the Territories 13:258	Lithaphis diruta Scudder, 1890								
1161034	typeSpecies	Heie. 1967. Studies on fossil aphids (Homoptera: Aphidoidea) especially in the Copenhagen collection of fossils in Baltic amber. Spolia Zoologica Musei Hauniensis 26:176	Siphonophoroides simplex Buckton, 1883								
1161035	typeSpecies	Davatchi, Hille Ris Lambers & G. Remaudière. 1957. On some near-eastern aphids. Tijdschrift voor Entomologie 100(1):127	Drepanosiphoniella aceris Davatchi, Hille Ris Lambers & Remaudière, 1957								
1161040	typeSpecies	Matsumura. 1917. A list of the Aphididae of Japan, with description of new species and genera. Journal of the College of Agriculture, Tohoku Imperial University 7:353, 367	Yamatocallis hirayamae Matsumura, 1917								
1161043	typeSpecies	Takahashi, R. 1963. Two new genera and five new or little-known species of Aphididae from Japan (Homoptera). Kontyû 31(3):161	Megalocallis takagii Takahashi, 1963								
1161044	typeSpecies	Ghosh, M.R., A.K. Ghosh & D.N. Raychaudhuri. 1971[1970]. Studies on the aphids (Homoptera: Aphididae) from eastern India III. New genus, new species and new records from North Bengal and Sikkim. Oriental Insects 4(4):383	Megalophyllaphis obscura Ghosh, Ghosh & Raychaudhuri, 1971								
1161055	typeSpecies	Mordvilko. 1909[1908]. Tableaux pour servir à la détermination des groupes et des genres des Aphididae Passerini. Ezegodnik Zoologiceskago Muzeja Imperatorskoj Nauk Sankt Peterburg 13:112	Aphis platanoidis Schrank, 1801								
1161059	typeSpecies	Börner. 1952. Europae centralis Aphides. Die Blattläuse Mitteleuropas. Namen, Synonyme, Wirtspflanzen, Generationszyklen. Mitteilungen der Thüringischen Botanischen Gesellschaft supplement 3:112	Aphis platanoidis Schrank, 1801								
1161062	typeSpecies	Amyot. 1847. Entomologie française. Rhynchotes (Suite) (1). Annales de la Société Entomologique de France Deuxième Série 5:112	Aphis platanoidis Schrank, 1801								
1161085	typeSpecies	Heie. 2006[2005]. Fossil aphids (Hemiptera: Sternorrhyncha) from Canadian Cretaceous amber and from the Miocene of Nevada. Insect Systematics and Evolution 37:99	Eriosaphis leei Heie, 2006								
1161087	typeSpecies	Heie. 2006[2005]. Fossil aphids (Hemiptera: Sternorrhyncha) from Canadian Cretaceous amber and from the Miocene of Nevada. Insect Systematics and Evolution 37:100	Eriosomaphis jesperi Heie, 2006								
1161091	typeSpecies	Heie. 1989. Fossil aphids (Insecta, Homoptera) from the Tertiary deposits of Boshaya Svetlododnaya, the U.S.S.R. Entomologica Scandinavica 19:485	Biamoaphis antiqua Heie, 1989								
