id	typeStatus	typeDesignatedBy	scientificName	institutionCode	catalogNumber	locality	sex	recordedBy	verbatimEventDate	verbatimLongitude	verbatimLatitude
1221192	type	Sellards. 1909. Types of Permian Insects. Part III. Megasecoptera, Oryctoblattinidae and Protorthoptera. The American Journal of Science (Amer. Jour. Sci.) 4 27:151-173	Liomopterum extensum Sellards, 1909		Type No. 972		undetermined				
1221193	type	Sellards. 1909. Types of Permian Insects. Part III. Megasecoptera, Oryctoblattinidae and Protorthoptera. The American Journal of Science (Amer. Jour. Sci.) 4 27:151-173	Horates elongatus Sellards, 1909		Type No. 992		undetermined				
1221195	type	Sellards. 1909. Types of Permian Insects. Part III. Megasecoptera, Oryctoblattinidae and Protorthoptera. The American Journal of Science (Amer. Jour. Sci.) 4 27:151-173	Probnis speciosa Sellards, 1909		Type No. 143		undetermined				
1221197	type	Sellards. 1909. Types of Permian Insects. Part III. Megasecoptera, Oryctoblattinidae and Protorthoptera. The American Journal of Science (Amer. Jour. Sci.) 4 27:151-173	Probnis coriacea Sellards, 1909		Type No. 655		undetermined				
1221199	type	Sellards. 1909. Types of Permian Insects. Part III. Megasecoptera, Oryctoblattinidae and Protorthoptera. The American Journal of Science (Amer. Jour. Sci.) 4 27:151-173	Espira obscura Sellards, 1909		Type No. 101		undetermined				
1221201	type	Sellards. 1909. Types of Permian Insects. Part III. Megasecoptera, Oryctoblattinidae and Protorthoptera. The American Journal of Science (Amer. Jour. Sci.) 4 27:151-173	Stoichus elegans Sellards, 1909		Type No. 974		undetermined				
1221202	type	Sellards. 1909. Types of Permian Insects. Part III. Megasecoptera, Oryctoblattinidae and Protorthoptera. The American Journal of Science (Amer. Jour. Sci.) 4 27:151-173	Stoichus arcuatus Sellards, 1909		Type No. 973		undetermined				
1221203	type	Sellards. 1909. Types of Permian Insects. Part III. Megasecoptera, Oryctoblattinidae and Protorthoptera. The American Journal of Science (Amer. Jour. Sci.) 4 27:151-173	Stoichus minor Sellards, 1909		Type No. 114		undetermined				
1221204	type	Sellards. 1909. Types of Permian Insects. Part III. Megasecoptera, Oryctoblattinidae and Protorthoptera. The American Journal of Science (Amer. Jour. Sci.) 4 27:151-173	Stoichus tenuis Sellards, 1909		Type No. 1208		undetermined				
1221206	type	Sellards. 1909. Types of Permian Insects. Part III. Megasecoptera, Oryctoblattinidae and Protorthoptera. The American Journal of Science (Amer. Jour. Sci.) 4 27:151-173	Stinus brevicubitalis Sellards, 1909		Type No. 459		undetermined				
1221208	type	Sellards. 1909. Types of Permian Insects. Part III. Megasecoptera, Oryctoblattinidae and Protorthoptera. The American Journal of Science (Amer. Jour. Sci.) 4 27:151-173	Lecopterum delicosum Sellards, 1909		Type No. 824		undetermined				
1221209	type	Sellards. 1909. Types of Permian Insects. Part III. Megasecoptera, Oryctoblattinidae and Protorthoptera. The American Journal of Science (Amer. Jour. Sci.) 4 27:151-173	Prisca fragilis Sellards, 1909		Type No. 128		undetermined				
1221209	neotype	Carpenter. 1935. The Lower Permian Insects of Kansas. Part 7. Order Protoperlaria. Proceedings of the American Academy of Arts and Sciences (Proc. Amer. Acad. Arts Sci.) 70(4):103-146		MCZ	No. 3582ab	North-Central U.S.A., Kansas: Lower layer of Elmo limestone.	undetermined	Carpenter	January 1, 1927		
1221210	type	Sellards. 1909. Types of Permian Insects. Part III. Megasecoptera, Oryctoblattinidae and Protorthoptera. The American Journal of Science (Amer. Jour. Sci.) 4 27:151-173	Lecorium elongatum Sellards, 1909		Type No. 524		undetermined				
1221223	holotype	Carpenter. 1950. The Lower Permian Insects of Kansas. Part 10. The order Protorthoptera: The family Liomopteridae and its relatives. Proceedings of the American Academy of Arts and Sciences (Proc. Amer. Acad. Arts Sci.) 78:187-219	Liomopterum sellardsi Carpenter, 1950	MCZ	4978	North-Central U.S.A., Kansas, Dickinson County: Elmo locality.	undetermined	F. M. Carpenter			
1221225	holotype	Carpenter. 1950. The Lower Permian Insects of Kansas. Part 10. The order Protorthoptera: The family Liomopteridae and its relatives. Proceedings of the American Academy of Arts and Sciences (Proc. Amer. Acad. Arts Sci.) 78:187-219	Tapopterum celsum Carpenter, 1950	MCZ	4930	North-Central U.S.A., Kansas, Dickinson County: Elmo locality.	undetermined	F. M. Carpenter			
1221227	holotype	Carpenter. 1950. The Lower Permian Insects of Kansas. Part 10. The order Protorthoptera: The family Liomopteridae and its relatives. Proceedings of the American Academy of Arts and Sciences (Proc. Amer. Acad. Arts Sci.) 78:187-219	Semopterum venosum Carpenter, 1950	MCZ	4924	North-Central U.S.A., Kansas, Dickinson County: Elmo locality.	undetermined	F. M. Carpenter			
1221230	holotype	Carpenter. 1950. The Lower Permian Insects of Kansas. Part 10. The order Protorthoptera: The family Liomopteridae and its relatives. Proceedings of the American Academy of Arts and Sciences (Proc. Amer. Acad. Arts Sci.) 78:187-219	Dermopterum gracile Carpenter, 1950	MCZ	4961	North-Central U.S.A., Kansas, Dickinson County: Elmo locality.	undetermined	F. M. Carpenter			
1221257	holotype	Aristov. 2004. Grylloblattids of the family Liomopteridae (Insecta: Grylloblattida) of the Upper half of the Upper Permian. Paleontological Journal 38(Suppl. 2):S150-S157	Rigidilioma radialis Aristov, 2004	PIN	PIN, no. 3286/9	East Europe, Russia Central: Bakhilka River valley, left tributary of the Nechkhinka River, 1.2 km north of the village of Chepanikha, locality of Chepanikha.	undetermined				
1221258	holotype	Aristov. 2004. Grylloblattids of the family Liomopteridae (Insecta: Grylloblattida) of the Upper half of the Upper Permian. Paleontological Journal 38(Suppl. 2):S150-S157	Liomopterella acuminata Aristov, 2004	PIN	PIN, no. 1366/260	East Europe, Russia Central: Vyatka River basin, left bank of the Kityak River opposite the  village of Bol’shoi Kityak, locality of Kityak.	undetermined				
1221259	holotype	Aristov. 2004. Grylloblattids of the family Liomopteridae (Insecta: Grylloblattida) of the Upper half of the Upper Permian. Paleontological Journal 38(Suppl. 2):S150-S157	Liomopterella kitiakensis Aristov, 2004	PIN	PIN, no. 1366/121	East Europe, Russia Central: Vyatka River basin, left bank of the Kityak River opposite the village of Bol’shoi Kityak, locality of Kityak.	undetermined				
1221261	holotype	Aristov. 2004. Grylloblattids of the family Liomopteridae (Insecta: Grylloblattida) of the Upper half of the Upper Permian. Paleontological Journal 38(Suppl. 2):S150-S157	Liomopterites novissimus Aristov, 2004	PIN	PIN, no. 3286/8	East Europe, Russia Central: Bakhilka River valley, left tributary of the Nechkhinka River, 1.2 km north of the village of Chepanikha, locality of Chepanikha.	undetermined				
1221262	holotype	Aristov. 2004. Grylloblattids of the family Liomopteridae (Insecta: Grylloblattida) of the Upper half of the Upper Permian. Paleontological Journal 38(Suppl. 2):S150-S157	Paraliomopterum alium Aristov, 2004	PIN	PIN, no. 2781/228	Middle Asia, Kazakhstan: Saikan Mountain Ridge, Karaungir River, Kyuryul’tyu Ravine, locality of Karaungir.	undetermined				
1221263	holotype	Aristov. 2004. Grylloblattids of the family Liomopteridae (Insecta: Grylloblattida) of the Upper half of the Upper Permian. Paleontological Journal 38(Suppl. 2):S150-S157	Paraliomopterum rectum Aristov, 2004	PIN	PIN, no. 3695/1	East Europe, Russia Central: right bank of the Kama River 6.4 km upstream of the Galevo pier, locality of Galevo.	undetermined				
1221266	holotype	Aristov. 2004. Grylloblattids of the family Liomopteridae (Insecta: Grylloblattida) of the Upper half of the Upper Permian. Paleontological Journal 38(Suppl. 2):S150-S157	Parapermula tatarica Aristov, 2004	PIN	PIN, no. 3286/10	East Europe, Russia Central: Bakhilka River valley, left tributary of the Nechkhinka River, 1.2 km north of the village of Chepanikha, locality of Chepanikha.	undetermined				
1221340	holotype	Beckemeyer. 2010. A new species of Liomopterella Sharov, 1961 (Polyneoptera: Liomopteridae) from the Early Permian Wellington Formation of Noble County, Oklahoma. Transactions of the Kansas Academy of Science 113:151-160	Liomopterella pediaecetae Beckemeyer, 2010	SEMC	KU-B3-09- 11-04- 001a, b	North-Central U.S.A., Oklahoma, Noble County: Billings 3 Locality.	male	J.D. Hall	September 11, 2004		
1221346	holotype	Riek. 1973. Fossil insects of the Upper Permian of Natal, South Africa. Annals of the Natal Museum (ANM) 21(3):513-532	Mioloptera stuchenbergi Riek, 1973	NMSA	NM, no. 850	Southern Africa, KwaZulu-Natal: Mooi River locality.	undetermined				
1221348	holotype	Riek. 1976. New Upper Permian insects from Natal, South Africa. Annals of the Natal Museum (ANM) 22(3):755-789	Mioloptoides andrei Riek, 1976	NMSA	NM, no. 852	Southern Africa, KwaZulu-Natal: Mooi River locality.	undetermined				
1221349	holotype	Aristov & Mostovski. 2013. Gryllolattids (Insecta, Grylloblattida) from the Upper Permian  of South Africa. Paleontological Journal 47(5):495-502	Liomopterites ulterior Aristov & Mostovski, 2013	NMSA	NM, no. 980	Southern Africa, KwaZulu-Natal: Lidgetton locality.	undetermined				
1221350	holotype	Aristov & Mostovski. 2013. Gryllolattids (Insecta, Grylloblattida) from the Upper Permian  of South Africa. Paleontological Journal 47(5):495-502	Liomopterites meridionalis Aristov & Mostovski, 2013	NMSA	NM, no. 2730	Southern Africa, KwaZulu-Natal: Bulwer locality.	undetermined				
1221352	holotype	Aristov & Mostovski. 2013. Gryllolattids (Insecta, Grylloblattida) from the Upper Permian  of South Africa. Paleontological Journal 47(5):495-502	Normandienoptera serotina Aristov & Mostovski, 2013	NMSA	NM, no. 2522	Southern Africa, KwaZulu-Natal: Mount West locality.	undetermined				
1221354	holotype	Aristov & Mostovski. 2013. Gryllolattids (Insecta, Grylloblattida) from the Upper Permian  of South Africa. Paleontological Journal 47(5):495-502	Afrogrylloblattus disputabilis Aristov & Mostovski, 2013	NMSA	NM, no. 988	Southern Africa, KwaZulu-Natal: Lidgetton locality.	undetermined				
1221361	holotype	Sharov. 1961. In Rohdendorf, Becker-Migdisova, Martynova & Sharov. Paleozojskie nasekomye kuznetskogo bassejna [Paleozoic insects of the Kuznetsk basin]. Otryad Paraplecoptera [Order Paraplecoptera]. Trudy Paleontologicheskogo Instituta Akademii Nauk, SSSR (Tr. Paleont. Inst. Akad. Nauk, SSSR) 85:164-224	Megakhosara dilucida Sharov, 1961	PIN	PIN #1197/322	East Europe, Russia South	undetermined				
1221385	holotype	Aristov. 2008. New grylloblattids of the family Megakhosaridae (Insecta: Grylloblattida) from the Permian of Russia. Paleontological Journal 42(3):269-272	Megakhosarina intricata Aristov, 2008	PIN	PIN no. 117/144	East Europe, Northwest European Russia: right bank of the Soyana River, 56-60 km upstream from the mouth, Soyana locality.	undetermined				
1221404	holotype	Aristov. 2009. New Grylloblattida (Insecta) from Kargala locality (Russia; Middle Permian). Far Eastern Entomologist 192:1-8	Expartolioma urzhumica Aristov, 2009	PIN	PIN No 199/232	East Europe, Russia South: Kargala locality.	undetermined				
1221407	holotype	Aristov. 2009. New Grylloblattida (Insecta) from Kargala locality (Russia; Middle Permian). Far Eastern Entomologist 192:1-8	Kargaloptera connexa Aristov, 2009	PIN	PIN No 199/145	East Europe, Russia South: Kargala locality.	undetermined				
1221408	holotype	Aristov. 2009. New Grylloblattida (Insecta) from Kargala locality (Russia; Middle Permian). Far Eastern Entomologist 192:1-8	Liomopterites amanakicis Aristov, 2009	PIN	PIN No 199/172	East Europe, Russia South: Kargala locality.	undetermined				
1221409	holotype	Aristov. 2009. New Grylloblattida (Insecta) from Kargala locality (Russia; Middle Permian). Far Eastern Entomologist 192:1-8	Megakhosara nana Aristov, 2009	PIN	PIN No 199/139	East Europe, Russia South: Kargala locality.	undetermined				
1221412	holotype	Aristov. 2009. New Grylloblattida (Insecta) from Kargala locality (Russia; Middle Permian). Far Eastern Entomologist 192:1-8	Urzhumskalicia kargalensis Aristov, 2009	PIN	PIN No 199/171	East Europe, Russia South: Kargala locality.	undetermined				
1221414	holotype	Aristov. 2009. New Grylloblattida (Insecta) from Kargala locality (Russia; Middle Permian). Far Eastern Entomologist 192:1-8	Kargalia sakmarica Aristov, 2009	PIN	PIN No 199/156		undetermined				
1221480	holotype	Lameere. 1917. Revision sommaire des insectes fossiles du Stephanien de Commentry. Bulletin du Muséum d’histoire naturelle (Bull. Mus. Paris) 23:141-200	Protoperla boltoni Lameere, 1917	MNHN	MNHN-DHT-R51417	Southwestern Europe, France, France	undetermined	Doubinger and Vetter	January 1, 1985		
