uid	|	name	|	type	|	rank	|	
1220018	|	Plesioblattogryllidae	|	synonym	|		|	
1219980	|	Grylloblattida	|	synonym	|		|	
1219980	|	Grylloblattaria	|	synonym	|		|	
1219980	|	Grylloblattoidea	|	synonym	|		|	
1220033	|	Neleidae	|	synonym	|		|	
1222250	|	Archiprobnidae	|	synonym	|		|	
1220868	|	Tomiidae	|	synonym	|		|	
1220055	|	Visheriferidae	|	synonym	|		|	
1220046	|	Jabloniidae	|	synonym	|		|	
1220046	|	Demopteridae	|	synonym	|		|	
1219998	|	Phenopteridae	|	synonym	|		|	
1219998	|	Paraphenopteridae	|	synonym	|		|	
1220017	|	Protoblattinae	|	synonym	|		|	
1220037	|	Grylloplattidae	|	synonym	|		|	
1220043	|	Probnisidae	|	synonym	|		|	
1220048	|	Aliculidae	|	synonym	|		|	
1220068	|	Lepium	|	synonym	|		|	
1220110	|	Horates	|	synonym	|		|	
1220120	|	Ishiana	|	synonym	|		|	
1220120	|	Galloisia	|	synonym	|		|	
1220295	|	Blania	|	synonym	|		|	
1220307	|	Prisca	|	synonym	|		|	
1220742	|	Dorniella biramosa	|	synonym	|		|	
1220742	|	Dorniella brunsvicensis	|	synonym	|		|	
1220742	|	Dorniella triramosa	|	synonym	|		|	
1220742	|	Dorniella violata	|	synonym	|		|	
1220742	|	Dorniella multoramosa	|	synonym	|		|	
1220779	|	Microblattogryllus	|	synonym	|		|	
1220032	|	Kargalellinae	|	synonym	|		|	
1220767	|	Meixiella	|	synonym	|		|	
1220024	|	Prosepididontidae	|	synonym	|		|	
1220062	|	Stereopteridae	|	synonym	|		|	
1220764	|	Hannoptera	|	synonym	|		|	
1221108	|	Hannoptera promota	|	synonym	|		|	
1220767	|	Nivoptera	|	synonym	|		|	
1221184	|	Lepium reticulatum	|	synonym	|		|	
1221184	|	Lepium sellardsi	|	synonym	|		|	
1219998	|	Lepiidae	|	synonym	|		|	
1221191	|	Liomopterum extensum	|	synonym	|		|	
1220075	|	Sylvokhosara	|	synonym	|		|	
1221125	|	Euryptilodes horridus	|	synonym	|		|	
1220015	|	Kirkorella mira	|	synonym	|		|	
1219990	|	Czekardia	|	synonym	|		|	
1220015	|	Czekardia blattoides	|	synonym	|		|	
1220156	|	Mariella	|	synonym	|		|	
1220015	|	Mariella gracilis	|	synonym	|		|	
1220156	|	Peremella	|	synonym	|		|	
1220015	|	Peremella ambiqua	|	synonym	|		|	
1220803	|	Estadia parva	|	synonym	|		|	
1220324	|	Lemmatophora typica conjuncta	|	synonym	|		|	
1220324	|	Lemmatophora typica quadrifurcata	|	synonym	|		|	
1220324	|	Lemmatophora typica quadrimedia	|	synonym	|		|	
1220802	|	Lemmatophora minuta obscurata	|	synonym	|		|	
1220802	|	Lemmatophora minuta pusilla	|	synonym	|		|	
1220802	|	Lemmatophora minuta semitincta	|	synonym	|		|	
1221461	|	Fabrecia	|	synonym	|		|	
1221500	|	Fabrecia minuta	|	synonym	|		|	
1221500	|	Protoblattina giardi	|	synonym	|		|	
1220021	|	Sylviodidae	|	synonym	|		|	
1220803	|	Estadia tripunctata	|	synonym	|		|	
1220308	|	Stemma	|	synonym	|		|	
1221210	|	Stemma elegans	|	synonym	|		|	
1221210	|	Stemma extensa	|	synonym	|		|	
1220308	|	Sellardsia	|	synonym	|		|	
1221210	|	Sellardsia kansasensis	|	synonym	|		|	
1221210	|	Sellardsia lecoriodes	|	synonym	|		|	
1221623	|	Paraprisca causaria	|	synonym	|		|	
1221649	|	Permonympha arcuata	|	synonym	|		|	
1221070	|	Idelia	|	synonym	|		|	
1220021	|	Rachementomidae	|	synonym	|		|	
1220324	|	Lemmatophora typica	|	synonym	|		|	
1221545	|	Delopterum	|	synonym	|		|	
1220137	|	Camptoneura	|	synonym	|		|	
