uid	|	name	|	type	|	rank	|	
1171736	|	Embides	|	synonym	|		|	
1171736	|	Embiodea	|	synonym	|		|	
1171745	|	Mesembiinae	|	synonym	|		|	
1171757	|	Anisembia (Anisembia) schwarzi	|	synonym	|		|	
1171793	|	Saussurella	|	synonym	|		|	
1171836	|	Chelicerca (Protochelicerca)	|	synonym	|		|	
1171744	|	Microembiinae	|	synonym	|		|	
1171899	|	Australembia	|	synonym	|		|	
1171931	|	Metoligotoma nodosa	|	synonym	|		|	
1171898	|	Australembiinae	|	synonym	|		|	
1171941	|	Clothodinae	|	synonym	|		|	
1171963	|	Dictyoploca	|	synonym	|		|	
1171978	|	Berlandiella	|	synonym	|		|	
1172015	|	Embia tunetana	|	synonym	|		|	
1172000	|	Embie	|	synonym	|		|	
1172000	|	Monotylota	|	synonym	|		|	
1172000	|	Euembia	|	synonym	|		|	
1172038	|	Embia aegyptiaca	|	synonym	|		|	
1172038	|	Embia enderleini	|	synonym	|		|	
1171962	|	Embidae	|	synonym	|		|	
1171962	|	Embiinae	|	synonym	|		|	
1172047	|	Navasiella	|	synonym	|		|	
1172082	|	Donaconethis sudanica	|	synonym	|		|	
1172086	|	Scelembia	|	synonym	|		|	
1172095	|	Olyntha	|	synonym	|		|	
1172095	|	Argocercembia	|	synonym	|		|	
1172101	|	Brachypterembia	|	synonym	|		|	
1172085	|	Scelembiinae	|	synonym	|		|	
1172120	|	Pararhagadochir davisi	|	synonym	|		|	
1172129	|	Ischnosembia	|	synonym	|		|	
1172144	|	Aphanembia	|	synonym	|		|	
1171736	|	Embiidina	|	synonym	|		|	
1171736	|	Embiida	|	synonym	|		|	
1172196	|	Oligembia (Dilobocerca)	|	synonym	|		|	
1172166	|	Oligembiidae	|	synonym	|		|	
1172214	|	Idioembia	|	synonym	|		|	
1172226	|	Embia californica	|	synonym	|		|	
1172226	|	Oligotoma mesopotamica	|	synonym	|		|	
1172244	|	Oligotoma signata	|	synonym	|		|	
1172256	|	Embia bramina	|	synonym	|		|	
1172256	|	Embia hova	|	synonym	|		|	
1172281	|	Aposthonia vosseleri	|	synonym	|		|	
1172285	|	Gynembia	|	synonym	|		|	
1172285	|	Embia (Dityle)	|	synonym	|		|	
1171736	|	Embidina	|	synonym	|		|	
1172314	|	Archembia lacombea	|	synonym	|		|	
1172316	|	Archembia peruviana	|	synonym	|		|	
1172305	|	Archembiinae	|	synonym	|		|	
