uid	|	parent_uid	|	name	|	rank	|	
003c5153-b1e0-49f6-a453-947b69310147	|	f23d9bed-5389-44d5-918b-254a44ec1a28	|	Convolvuleae	|	tribe	|	
003ed485-acb7-4a17-a586-b062dc51a245	|	2b6eab4f-0a7f-41ff-8880-330a51c784f8	|	Cyperoideae	|	subfamily	|	
003f1b37-760b-4a93-9d0a-cdd663274309	|	a03d21bf-c1e2-43c9-9196-aec44393294a	|	Phyllidiidae	|	family	|	
004553f0-6e27-413f-9c4b-6e7d5724f72c	|	86e5122e-7426-4375-8d82-524df25d3801	|	Salyavatinae	|	subfamily	|	
00474fe4-9b18-4fdb-8804-06cb65c6cc48	|	2f11b4e3-ef95-4c34-ab28-6e004d03a6f3	|	Carinariidae	|	family	|	
00475272-6500-4160-8b14-07213217c65a	|	80b4c6c9-7c8e-40b5-b629-ddc46aa8d807	|	Arundineae	|	tribe	|	
0047f9a8-e73a-4214-b031-96f8962c9184	|	9f2e6fc4-332f-46f1-84cb-86d9755b7241	|	Thyrsopteridaceae	|	family	|	
004bfd53-10f8-494f-a919-9fa38db9c3be	|	f5adbc8e-1107-40fd-a7f5-dcdd054dc544	|	Anchimolgidae	|	family	|	
0052de8f-2c94-49ce-860a-af4f1ae62ffa	|	ee5ee11e-8203-46cc-91a1-b04317f29165	|	Orchistomatidae	|	family	|	
0054806e-f58f-44f9-b3b1-913fc95c12c0	|	dc5d8447-6475-45bc-8840-6fdd56b8c74d	|	Emucarididae	|	family	|	
005582fe-f402-4caf-b2aa-0d969ecfe9d2	|	55618047-d1c1-4cee-814a-0b880bcd536f	|	Hornelliidae	|	family	|	
0059f6f7-5128-46ac-8008-3a85579d61de	|	dace2913-0711-4748-b652-aa6205ef2446	|	Fuhrmannodesmidae	|	family	|	
005ba8d3-3c0a-4a1c-8749-61becd022bf3	|	227e0856-060d-4276-b4c0-3569b034d37e	|	Limnognathida	|	order	|	
005c0e6e-fd78-43e4-ac5e-7e78450846a3	|	c6caf4c0-f76c-4136-adb9-e3e6c83fb949	|	Phylliini	|	tribe	|	
005e9c13-1579-48bd-873e-395df9c25a0e	|	3ed67011-80aa-4db4-9b3c-191b7b3ecf43	|	Hydrobiinae	|	subfamily	|	
005f4d6b-d22d-4c50-a9e9-c7367386e83b	|	779c10fc-09b9-4930-ae2e-1ce938e2cae3	|	Plicatulidae	|	family	|	
005fa815-57cc-4228-baf8-83acde45523a	|	8a068d95-83d7-468c-9368-193e8dd4fed1	|	Tetratomidae	|	family	|	
006228d8-da24-4a61-897b-0d8d8abab2c3	|	de4ac712-2519-428c-b035-8f3c2a3565b9	|	Stokesiidae	|	family	|	
0063a83d-cfce-4196-87f4-db03fd357b04	|	7629e269-29f8-4437-b0a7-37690e12a46b	|	Cretostylopidae	|	family	|	
00672001-1203-42be-8212-ba345de554bf	|	24e090ad-b94c-43a5-a394-94fbaa16ab38	|	Phormini	|	tribe	|	
0067fab1-fe90-4fad-8f2a-b75e05143d85	|	97ea7252-2923-4cb3-810f-dab60e5437f7	|	Larvamimidae	|	family	|	
006c0286-291b-4312-bd3f-55f3ed48c0e6	|	cf848ac4-6c3e-42ec-873e-57ced38eebc3	|	Balanotaeniidae	|	family	|	
006d5719-4e58-46e6-994a-97e5ec4ce6af	|	c5cad448-6196-4fa0-bc62-a5cfbd33cef9	|	Archiearinae	|	subfamily	|	
00725867-6089-4fa4-8232-6291b250b856	|	47810ae8-60c8-494c-b735-59ed45b6fda5	|	Streptelasmatidae	|	family	|	
007a1bfd-2ff3-48dc-892b-ecb2d64cedc9	|	34939877-c1e8-4b5e-a1a7-814179e1587c	|	Hypodontiaceae	|	family	|	
007c54a5-739c-4a4c-a009-1f401e03b998	|	fbdd715c-733a-4386-ab86-6b6ce65f435e	|	Bombycoidea	|	superfamily	|	
007ca9aa-e682-4c35-a6d2-f261bb8dbb54	|	19cadfee-2f5e-42f9-aec2-36a4f6ed915e	|	Scyphocrinitidae	|	family	|	
007de05e-5525-423f-8351-e7fa373f2e3c	|	2e9d8378-6d83-4874-80df-4486184d83ea	|	Trechaleidae	|	family	|	
00815930-d002-415b-82cd-e6b5b2caa006	|	3bf3e9e1-3fae-4c7c-8b04-2f54596a6619	|	Monognathidae	|	family	|	
009458d6-0bf4-49d5-a9c0-bc4ddeb2942e	|	e8cf9286-ca51-4b65-b7ca-41e3f18160da	|	Ectatomminae	|	subfamily	|	
009576c6-9242-44a5-b7c2-d05dd77dee7c	|	2427123c-75fe-4875-9ef1-13bf4970e21a	|	Neraphidiidae	|	family	|	
00962abf-5d92-4306-8174-38ef4c803edf	|	6c3138a0-8bb0-4cfa-b607-545e9842730e	|	Aulaceridae	|	family	|	
009e3346-3ee0-4802-a31f-98e1129b7ee8	|	70a8155a-fd33-4331-b1db-7669f83ef66c	|	Aphidoidea	|	superfamily	|	
00a6840b-0873-4e89-a59b-28be5a094864	|	f6d18063-b1a7-472c-8a24-b844a86c19bc	|	Scenopinidae	|	family	|	
00a79bce-9f3c-40c1-aca4-ce25cb59ab7f	|	b6062dfd-8cc9-4101-8180-8bf78b1457fd	|	Dromomerycidae	|	family	|	
00acfc26-124f-4c53-b2b1-744bcb387e21	|	b9025349-14e5-4183-b56e-17a354a5a864	|	Tibicininae	|	subfamily	|	
00b48b4c-4133-49d7-9f9e-f0035f9922e0	|	2c671136-d77a-49aa-9f4b-ac15a67152ec	|	Copiphorini	|	tribe	|	
00bb92fd-8008-40b6-8129-29ff0863d7ef	|	5d455275-6e58-4004-badb-0fb3d58e4e4e	|	Cylindroteuthididae	|	family	|	
00bbae0c-e048-4249-aec6-3874e8ed10f9	|	d35dd8e9-ba1c-4f4e-afb9-43834a3694dc	|	Tornidae	|	family	|	
00bd05d7-cd0b-46da-a6f5-1e7d135bbec8	|	59ed622f-d12b-48fa-8b66-3baf5f4bd52c	|	Lachnaceae	|	family	|	
00bea18f-ea9d-4aeb-9b5f-19ef94bf94bb	|	0739ffb4-e679-48d7-8dfc-9915052c9196	|	Lepidodasyidae	|	family	|	
00c3d5e4-a2f5-4959-8e29-4659bf1ac66f	|	62f114b2-dc7c-47d2-9e4e-fca930618b2f	|	ssDNA viruses	|	no rank	|	
00c5db93-abd9-4867-bfd4-0251ba9bcc67	|	848a8a68-4c6c-46c0-93b5-248c8d73e845	|	Tiarechinidae	|	family	|	
00c75211-9067-4693-97eb-a7bbe147184d	|	df31176b-876f-4b92-aecb-ae08575ed6fc	|	Calanidae	|	family	|	
00ca50b2-15ae-4c8f-9a25-6676e04a4206	|	84da7a76-e0aa-402c-a557-07e1e659d406	|	Archinotodelphyidae	|	family	|	
00cfa5cf-9736-4b0a-94cc-56f399b8c0c2	|	24705e66-76d1-4871-a92b-ea89a49360fc	|	Hypenodinae	|	subfamily	|	
00d0e76e-8761-4da9-9948-5e8915b9ef8c	|	cb166e61-fba0-4d57-a208-637d32d552af	|	Holocentrinae	|	subfamily	|	
00d64bc0-4cf9-4220-b11b-fb81e94e2959	|	286d3c2d-2a9c-481e-a3dc-c966ece7baeb	|	Norwoodiidae	|	family	|	
00dbd347-ef13-43f0-949e-1e36590dc8d0	|	154ba667-bf77-4712-824f-19ca5b1ada90	|	Triacanthidae	|	family	|	
00dd703e-c777-43f3-8c18-8e9d8984fc98	|	b060c391-29f1-45d8-8534-efec6ddb4dd1	|	Dichograptidae	|	family	|	
00e7ab77-4175-4105-8132-d9b104b35d5c	|	6a42873d-441b-4eb4-a6e8-3bc863691baf	|	Pholadidae	|	family	|	
00e94347-3492-478f-8bfb-ad5923b60a03	|	b942322e-5e58-4824-85bc-5aebee89a9b4	|	Glyphocyphidae	|	family	|	
00ecc35d-0297-4246-bc57-5ff243143ad9	|	26d7492e-20a6-4b8b-a439-0d3a93aa3008	|	Cerastidae	|	family	|	
00f2745d-e077-4206-8d4b-9d0da6957aeb	|	b44406bf-dbcf-48c9-9dd6-0fe5d23aef10	|	Berytoniscidae	|	family	|	
00f4219a-c8f3-43a1-b062-4d76e9eeab8b	|	f30f01f0-d71b-46df-b618-89f3d4c23a69	|	Notodiaphanidae	|	family	|	
00fa062e-6b1f-4b7f-832c-6b586110c16e	|	0e70be50-791c-46a4-96b7-42012c0d0445	|	Elenchidae	|	family	|	
00fadfb1-70d7-45d1-b7af-fb52df7de829	|	29d4c648-3c9f-4cfa-85f0-20da7b2d3e17	|	Apidioplanidae	|	family	|	
00fda168-33a3-46da-ade4-b7a936576530	|	9969fbb4-c52a-4456-9a88-863d72e707b1	|	Palaeoscolecida	|	class	|	
010289ef-7d3b-49ce-ac88-d0bc2a970f14	|	add171e4-7fca-4bff-b2b2-43d4d03024b7	|	Caeculidae	|	family	|	
0103b0ec-edc0-454b-b1b9-97990b7f5500	|	4864e3d9-a579-4136-bac8-aa209c1f620c	|	Lampropidae	|	family	|	
010451f2-8742-4c45-8501-0d446ec7b02c	|	8028d596-a0e3-424d-8bac-b0f6a1a55e24	|	Centridini	|	tribe	|	
01087330-7c6a-48ba-a8d6-5a263dff83ce	|	070bc981-a165-4dbe-9490-16a18a0d5d7d	|	Armorhydridae	|	family	|	
0110f181-d3f3-4676-9473-63e51fe04a22	|	5b2c5127-c8e2-4f1f-8695-54bd04921e41	|	Phytomyzinae	|	subfamily	|	
01129cbd-c074-43d6-a258-1d172871e846	|	b9a7f107-51a0-4bb3-9418-7244ac7dbf6d	|	Polistini	|	tribe	|	
01137bdb-7dda-49c0-989f-1d9dd4b1c12a	|	6684f0a5-ff93-4ba4-8d5b-7d69f56e78cd	|	Striglininae	|	subfamily	|	
01137e75-b160-44c0-b528-aa9d38cc118a	|	155b7b0f-b82d-474f-a1f6-47cf343e237d	|	Dalyelliidae	|	family	|	
0113b845-e1e7-4b70-89ac-35b7f3e03a55	|	b215d7b6-6a75-4614-9c31-adbb72d8e14d	|	Dionchidae	|	family	|	
011a131e-97f0-414c-8f5d-41a3aeb58dea	|	b9868788-fbf9-4f74-840b-dd7ba6a14246	|	Lentibulariaceae	|	family	|	
011b96cf-5470-491c-b410-501af1cabd29	|	2f8940da-b67d-44a4-b263-3584554d8f7c	|	Meenoplidae	|	family	|	
011c5985-f560-45a2-b66a-c757237ad036	|	c1e31774-800f-4e27-a5c7-09c330a85765	|	Caenoprosopidini	|	tribe	|	
011fe712-fd09-41b1-8ee1-eed1106daec0	|	3b6245fb-f6cf-433d-97fd-fc4e83c7ac8d	|	Orchitophryidae	|	family	|	
0121766d-012c-4d8e-be19-21547ae2a854	|	92c58326-763f-4bba-bc95-c9ffc88d8280	|	Diastomidae	|	family	|	
01231fbc-834c-4a13-9cc2-5c613d77b613	|	a90e1280-df3f-4743-8791-1f8e4fb20607	|	Schoenobiinae	|	subfamily	|	
012395b3-8426-4ea9-96aa-1c513276ca38	|	1297f5a2-56fa-4d2e-8327-e1cff247e1f3	|	Cycloctenidae	|	family	|	
01259f5f-7fad-44a4-ba34-d839da61fd80	|	9ac647ef-1584-4328-aaff-cf0591696ca1	|	Diarrheneae	|	tribe	|	
0131068e-1a12-4326-a23c-504b079f41a0	|	1150a690-e503-4d01-b375-422872dc6ccb	|	Prionoteae	|	tribe	|	
01356c40-bcac-4dbb-ac34-1de3f75dfec9	|	9f72cc57-c7df-45b3-871c-ff0f5f062b5d	|	Peridiniaceae	|	family	|	
01356d77-6149-49d1-9be5-40c91c2ef2eb	|	9158b713-44f4-450f-a3aa-435c0646331e	|	Idolothripinae	|	subfamily	|	
0135c5f5-bd3d-4bd1-9171-2454e8224489	|	14fe8e7e-26c1-4608-bba8-b4794ef7c69c	|	Apolemiidae	|	family	|	
0141a24a-7163-41b1-b99d-5377b8d7cb2e	|	d661db29-3024-408e-8e19-a9a8c944c412	|	Migidae	|	family	|	
01474e3e-7b6c-4fd5-8333-db2b74b91b84	|	a22b2812-faef-4584-9b8e-659890bf3229	|	Raphidascarididae	|	family	|	
0147f3e8-3e4d-446d-a110-0d8974ee8a66	|	3298e56f-85da-481e-9c47-984aea0bff09	|	Procorniculinida	|	order	|	
014a55f4-672c-4ca0-b592-cd9f06f4d44f	|	7f91e9b7-79b2-42a6-b9ba-7e32944a7f26	|	Trigonorhinini	|	tribe	|	
014ae274-988a-4b10-b11b-09cd781a0910	|	5ac3472b-0ed8-4765-9367-0732aa2e5eab	|	Teretriini	|	tribe	|	
014b9235-8434-4df4-acbb-f7f2d16b3966	|	007c54a5-739c-4a4c-a009-1f401e03b998	|	Apatelodidae	|	family	|	
01520cca-3d0d-43d2-b1b4-9cd69f786cb8	|	a289b87a-eb1f-4c95-be53-1fa046162036	|	Sarcolaenaceae	|	family	|	
015298af-f74b-416c-8c84-47f6e15d6467	|	66ba5b0d-a229-4800-bd1f-457ae0d45607	|	Calycidorididae	|	family	|	
01534b5c-913d-45c4-88b8-06fb186a72f4	|	3760aa52-8316-4d4d-b417-d553c0f4e527	|	Ptaeroxylaceae	|	family	|	
01547b13-1173-413e-84f0-034e4a2e0599	|	e3380c63-be83-4ad5-8747-66b704fe8063	|	Phaeothamniaceae	|	family	|	
01555122-74fc-4f1b-b49d-a00047de4ecd	|	df493034-cc1d-48c0-b2c8-a7d8c8e07d25	|	Oryctocephalidae	|	family	|	
01581b8e-fa08-4192-91eb-9d8ccd0f83d3	|	8a1d7209-cd83-4a69-9b22-40a9086ad7f8	|	Tendrina	|	suborder	|	
015f21ff-3f49-4e79-b92d-b500040c917c	|	70c332c9-dfa5-444b-b371-a98afe8152b5	|	Anthomyiidae	|	family	|	
0160bb00-b762-423e-843b-6cab0829cec7	|	1debbc63-9c06-4b6b-a587-e2245d755062	|	Porocoscinidae	|	family	|	
01625d86-b9ee-47ff-a89d-4abc83d8fadf	|	9814ad1d-ac70-4f5a-9742-d4e1008793a5	|	Chlorarachniophyta	|	class	|	
0163e6d0-9627-418f-83b6-12dee583ecb4	|	a7ba74a6-106f-443e-9d66-5e6f5481fb7b	|	Ambiortiformes	|	order	|	
016bb353-d3f0-4b81-a493-57287c9013f3	|	96f2f62b-4c34-4117-ad6e-cc6032a480fa	|	Monstrillidae	|	family	|	
01755905-b8f2-47a6-bb10-c4f8972cb140	|	5f794723-2101-443c-9b23-209a193796ec	|	Carditoidea	|	superfamily	|	
01773626-ff1d-4da7-9bff-066d9054dfc0	|	ab6b9414-ce7e-4f0f-abd5-40bb376ec0bb	|	Scincidae	|	family	|	
01779222-73e3-449f-b755-5784a62bbf32	|	d9fdc0dc-ba5f-4da6-94b2-baf0334a5c65	|	Neomeniamorpha	|	order	|	
01791b51-3132-4b5d-84ac-1f1221fe227e	|	a26277d9-eb76-4238-8e8b-6cd177c850c5	|	Iowacystidae	|	family	|	
017a2107-bf27-4491-9941-7287966fad01	|	906ab15b-376e-4d99-ae8b-e4dadc241349	|	Xanthonychidae	|	family	|	
017a224c-3ea5-4f01-9f5d-373e8c55e662	|	71650fca-822d-42e5-9a89-0710b0b60f64	|	Mirandotanaidae	|	family	|	
017c5053-12aa-4737-9c50-455bc01b0a62	|	11618bf0-a3d5-423d-ad2e-8052c87daef6	|	Oltmansiellopsidales	|	order	|	
017df32f-05e6-47a9-b6c2-8e39de752aaa	|	82616e98-dfaa-432e-9a2b-d06beacea23c	|	Plagiopylea	|	class	|	
01805c72-44f4-41c0-87ba-6a6747656edc	|	c16e4075-476e-4265-b000-8202cdbab636	|	Truncatellinidae	|	family	|	
01831f65-6562-4431-ac4f-04a2dcfa7893	|	9cec1770-2f44-42d2-aa37-9a689c6b5c0e	|	Geoplanidae	|	family	|	
01868a30-0b79-42d8-8c99-a644fd6a0784	|	25870b05-153c-4de5-9768-1a2660c25ef3	|	Cancridae	|	family	|	
0188ead3-c032-4951-a07a-3acaf1671b69	|	821176d4-0775-4650-8d07-096ad06d5022	|	Sphaeritidae	|	family	|	
018b5dd7-3b61-4980-8f3a-b477acf30b86	|	59117ce7-aceb-4568-b32b-7b7a7b94e08f	|	Nanorthidae	|	family	|	
019234f3-8946-4cb2-81df-960ac4050339	|	38fb3628-334f-44c6-98b9-1b3a7a41a66b	|	Rhizobiales	|	order	|	
0193cf02-dd26-4d32-9049-cd7689e83030	|	12191958-3ebc-44fd-9926-451fbd3de956	|	Alopiinae	|	subfamily	|	
0195aeca-a6fd-4aa6-b4ab-59421425c2c3	|	47810ae8-60c8-494c-b735-59ed45b6fda5	|	Coccoserididae	|	family	|	
0195b52c-8ef7-4ce3-885f-d9124c99ce4e	|	c1a69ae7-3358-45cf-a8f5-21e9eb7d39f7	|	Scutasteridae	|	family	|	
01964827-1896-4018-953d-dab4b3142ce0	|	079fb0f9-5c92-409d-9213-aaf672adaaab	|	Dendrobiinae	|	subtribe	|	
019ca917-5d0d-455d-8923-a524c30c2d66	|	59653e94-8005-4bfc-96bf-3e4cd4792292	|	Panpulmonata	|	no rank	|	
01a28f75-c1d1-4b51-927c-3506fd47a00c	|	3fbd442d-f995-44ff-ab87-618d4226715a	|	Pyramidoptereae	|	tribe	|	
01a2dfa5-cfda-45ca-9094-80cc8a42af7c	|	7b5219fe-a6a3-408d-8b73-6f97a6b9702b	|	Sorochytriaceae	|	family	|	
01a55ee4-cdc1-4dfd-a2d4-b374768ac838	|	9f95011b-1a33-4bad-a083-9abbfa533ac0	|	Deoterthridae	|	family	|	
01a6eb15-b0e6-4671-88bc-3cc5b836dd8c	|	083193d5-c556-4fcd-9dfc-aa3333ffcd72	|	Basseliniinae	|	subtribe	|	
01a8080e-72ad-44f5-be7c-3eb14789eeff	|	dd16f7de-d258-481c-9b0b-f66daac7cb72	|	Xylophagidae	|	family	|	
01ab062d-f9c5-4b57-814c-ee552d91f038	|	6f1c4a67-13b9-4388-93ee-fa1e3169be62	|	Bodotriinae	|	subfamily	|	
01abcfd4-bb25-4c0a-9da5-6497e4766a3c	|	9eade00e-25d2-45e5-8daa-64ca4912b228	|	Flustrellidroidea	|	superfamily	|	
01b2a979-f3c0-4db0-9c4b-d89d723cf598	|	bb7f2cec-71e7-4fe9-bf13-0103dbb4e74e	|	Proteromonadea	|	no rank	|	
