log.tsv|version1
source_name	source_qid	parity	target_name	target_qid	target_uid	reason	witness	
Agraeciini	ORTH:1132654	-		null	-	sibling-sink mismatch	null
Agraeciini	ORTH:1132654	=>	Agraeciini	ORTH:1132654	-677849	reject/absorbed	null
Haliplectoidea	WOR:834685	=>	Haliplectoidea	WOR:834685	-66488	reject/absorbed	null
Haliplectoidea	WOR:834685	-		null	-	not-placed/same-taxon	null
Ancaudellia insularis	BLA:1173633	=>	Ancaudellia insularis	BLA:1173633	-620866	new/import	null
Anisochaeta	TPL:T1639	=>	Anisochaeta	TPL:T1639	-782757	new/import	null
Anisochaeta	EET:EOL-Earthworm-Patch-3235	-		null	-	not-placed/does-not-descend	null
Stylophora	trunk:76e098b5-218a-4a7c-99f5-3edc5c0d438b	=>	Stylophora	trunk:76e098b5-218a-4a7c-99f5-3edc5c0d438b	-31246	new/import	null
Stylophora	WOR:204068	not=>	Stylophora	trunk:76e098b5-218a-4a7c-99f5-3edc5c0d438b	-31246	not-same/ranks	genus|class
Stylophora	WOR:204068	=>	Stylophora	WOR:204068	-38810	new/import	null
Scutarielloidea	WOR:479191	=>	Scutarielloidea	WOR:479191	-335802	new/import	null
		-	Scutarielloidea	WOR:479191	-335802	rank inversion	null
Hoploridiidae	COL:1171552	=>	Hoploridiidae	COL:1171552	-600718	new/import	null
Tyto rosenbergii	IOC:023db1a4276a5ca6d9cf53687e667db2	=>	Tyto rosenbergii	IOC:023db1a4276a5ca6d9cf53687e667db2	-824502	new/import	null
Meridosternata	WOR:510543	=>	Meridosternata	WOR:510543	-214531	new/refinement	null
Tyto inexspectata	IOC:808d38d59ad0fb70f8e351fe73469745	=>	Tyto inexspectata	IOC:808d38d59ad0fb70f8e351fe73469745	-824498	new/import	null
Peltophysa	COL:1171567	=>	Peltophysa	COL:1171567	-628576	new/import	null
Gymnomera	WOR:729921	=>	Gymnomera	WOR:729921	-330432	new/refinement	null
		-	Gymnomera	WOR:729921	-330432	rank inversion	null
