id	description	type
1171454	Terrestrial.	habitat
1171455	Terrestrial.	habitat
1171456	Terrestrial.	habitat
1171457	Terrestrial.	habitat
1171458	Terrestrial.	habitat
1171459	Terrestrial.	habitat
1171460	Terrestrial.	habitat
1171461	Terrestrial.	habitat
1171462	Terrestrial.	habitat
1171463	Terrestrial.	habitat
1171464	Terrestrial.	habitat
1171465	Terrestrial.	habitat
1171466	Terrestrial.	habitat
1171467	Terrestrial.	habitat
1171468	Terrestrial.	habitat
1171469	Terrestrial.	habitat
1171470	Terrestrial.	habitat
1171471	Terrestrial.	habitat
1171472	Terrestrial.	habitat
1171473	Terrestrial.	habitat
1171474	Terrestrial.	habitat
1171475	Terrestrial.	habitat
1171476	Terrestrial.	habitat
1171477	Terrestrial.	habitat
1171478	Terrestrial.	habitat
1171479	Terrestrial.	habitat
1171480	Terrestrial.	habitat
1171481	Terrestrial.	habitat
1171482	Terrestrial.	habitat
1171483	Terrestrial.	habitat
1171484	Terrestrial.	habitat
1171485	Terrestrial.	habitat
1171486	Terrestrial.	habitat
1171487	Terrestrial.	habitat
1171488	Terrestrial.	habitat
1171489	Terrestrial.	habitat
1171490	Terrestrial.	habitat
1171491	Terrestrial.	habitat
1171492	Terrestrial.	habitat
1171493	Terrestrial.	habitat
1171494	Terrestrial.	habitat
1171495	Terrestrial.	habitat
1171496	Terrestrial.	habitat
1171497	Terrestrial.	habitat
1171498	Terrestrial.	habitat
1171499	Terrestrial.	habitat
1171500	Terrestrial.	habitat
1171501	Terrestrial.	habitat
1171502	Terrestrial.	habitat
1171503	Terrestrial.	habitat
1171504	Terrestrial.	habitat
1171505	Terrestrial.	habitat
1171506	Terrestrial.	habitat
1171507	Terrestrial.	habitat
1171508	Terrestrial.	habitat
1171509	Terrestrial.	habitat
1171510	Terrestrial.	habitat
1171511	Terrestrial.	habitat
1171512	Terrestrial.	habitat
1171513	Terrestrial.	habitat
1171514	Terrestrial.	habitat
1171515	Terrestrial.	habitat
1171516	Terrestrial.	habitat
1171517	Terrestrial.	habitat
1171518	Terrestrial.	habitat
1171519	Terrestrial.	habitat
1171520	Terrestrial.	habitat
1171521	Terrestrial.	habitat
1171522	Terrestrial.	habitat
1171523	Terrestrial.	habitat
1171524	Terrestrial.	habitat
1171525	Terrestrial.	habitat
1171526	Terrestrial.	habitat
1171527	Terrestrial.	habitat
1171528	Terrestrial.	habitat
1171529	Terrestrial.	habitat
1171530	Terrestrial.	habitat
1171531	Terrestrial.	habitat
1171532	Terrestrial.	habitat
1171533	Terrestrial.	habitat
1171534	Terrestrial.	habitat
1171535	Terrestrial.	habitat
1171536	Terrestrial.	habitat
1171537	Terrestrial.	habitat
1171538	Terrestrial.	habitat
1171539	Terrestrial.	habitat
1171540	Terrestrial.	habitat
1171541	Terrestrial.	habitat
1171542	Terrestrial.	habitat
1171543	Terrestrial.	habitat
1171544	Terrestrial.	habitat
1171545	Terrestrial.	habitat
1171546	Terrestrial.	habitat
1171547	Terrestrial.	habitat
1171548	Terrestrial.	habitat
1171549	Terrestrial.	habitat
1171550	Terrestrial.	habitat
1171551	Terrestrial.	habitat
1171552	Terrestrial.	habitat
1171553	Terrestrial.	habitat
1171554	Terrestrial.	habitat
1171555	Terrestrial.	habitat
1171556	Terrestrial.	habitat
1171557	Terrestrial.	habitat
1171558	Terrestrial.	habitat
1171559	Terrestrial.	habitat
1171560	Terrestrial.	habitat
1171561	Terrestrial.	habitat
1171562	Terrestrial.	habitat
1171563	Terrestrial.	habitat
1171564	Terrestrial.	habitat
1171565	Terrestrial.	habitat
1171566	Terrestrial.	habitat
1171567	Terrestrial.	habitat
1171568	Terrestrial.	habitat
1171569	Terrestrial.	habitat
1171570	Terrestrial.	habitat
1171571	Terrestrial.	habitat
1171572	Terrestrial.	habitat
1171573	Terrestrial.	habitat
1171574	Terrestrial.	habitat
1171575	Terrestrial.	habitat
1171576	Terrestrial.	habitat
1171577	Terrestrial.	habitat
1171578	Terrestrial.	habitat
1171579	Terrestrial.	habitat
1171580	Terrestrial.	habitat
1171581	Terrestrial.	habitat
1171582	Terrestrial.	habitat
1171583	Terrestrial.	habitat
1171584	Terrestrial.	habitat
1171585	Terrestrial.	habitat
1171586	Terrestrial.	habitat
1171587	Terrestrial.	habitat
1171588	Terrestrial.	habitat
1171589	Terrestrial.	habitat
1171590	Terrestrial.	habitat
1171591	Terrestrial.	habitat
1171592	Terrestrial.	habitat
1171593	Terrestrial.	habitat
1171594	Terrestrial.	habitat
1171595	Terrestrial.	habitat
1171596	Terrestrial.	habitat
1171597	Terrestrial.	habitat
1171598	Terrestrial.	habitat
1171599	Terrestrial.	habitat
1171600	Terrestrial.	habitat
1171601	Terrestrial.	habitat
1171602	Terrestrial.	habitat
1171603	Terrestrial.	habitat
1171604	Terrestrial.	habitat
1171605	Terrestrial.	habitat
1171606	Terrestrial.	habitat
1171607	Terrestrial.	habitat
1171608	Terrestrial.	habitat
1171609	Terrestrial.	habitat
1171610	Terrestrial.	habitat
1171611	Terrestrial.	habitat
1171612	Terrestrial.	habitat
1171613	Terrestrial.	habitat
1171614	Terrestrial.	habitat
1171615	Terrestrial.	habitat
1171616	Terrestrial.	habitat
1171617	Terrestrial.	habitat
1171618	Terrestrial.	habitat
1171619	Terrestrial.	habitat
1227262	Terrestrial.	habitat
1171502	Holotype.	typematerial
1171504	Holotype.	typematerial
1171523	Holotype.	typematerial
1171524	Holotype.	typematerial
1171526	Holotype.	typematerial
1171527	Holotype.	typematerial
1171529	Holotype.	typematerial
1171530	Holotype.	typematerial
1171537	Holotype.	typematerial
1171564	Holotype.	typematerial
1171566	Holotype.	typematerial
1171568	Holotype.	typematerial
1171570	Holotype.	typematerial
1171574	Holotype.	typematerial
1171575	Holotype.	typematerial
1171576	Holotype.	typematerial
1171578	Holotype.	typematerial
1171580	Holotype.	typematerial
1171581	Holotype.	typematerial
1171584	Holotype.	typematerial
1171586	Holotype.	typematerial
1171587	Holotype.	typematerial
1171588	Holotype.	typematerial
1171596	Holotype.	typematerial
1171598	Holotype.	typematerial
1171599	Holotype.	typematerial
1171600	Holotype.	typematerial
1171601	Holotype.	typematerial
1171603	Holotype.	typematerial
1171608	Holotype.	typematerial
1171609	Holotype.	typematerial
1171610	Holotype.	typematerial
