id	bibliographicCitation	title	creator	date	source	type
1182268	Beier. 1964. Bronn’s Klass. Ordn. Tierreiches 5 3(6):953		Beier	1964	Bronn’s Klass. Ordn. Tierreiches	publication
1182268	Beier. 1968. Handb. Zool. 4((2) 2/12):12		Beier	1968	Handb. Zool.	publication
1182268	Kaltenbach. 1976. Series Ent. 12:161		Kaltenbach	1976	Series Ent.	publication
1182268	Wang. 1993. Synopsis on Classif. Mantodea from China 55		Wang	1993	Synopsis on Classif. Mantodea from China	publication
1182268	Nel & Roy. 1996. Eur. J. Entomol. 93:223-234		Nel & Roy	1996	Eur. J. Entomol.	publication
1182268	Ehrmann. 2002. Mantodea der Welt 1-519		Ehrmann	2002	Mantodea der Welt	publication
1182268	Roy. 2004. Revue Francaise D’Entomologie. 26(1)		Roy	2004	Revue Francaise D’Entomologie.	publication
1182269	Beier. 1964. Bronn’s Klass. Ordn. Tierreiches 5 3(6):954		Beier	1964	Bronn’s Klass. Ordn. Tierreiches	publication
1182269	Beier. 1968. Handb. Zool. 4((2) 2/12):12		Beier	1968	Handb. Zool.	publication
1182270	Bolivar. 1890. An. Soc. esp. Hist. Nat. 19:305		Bolivar	1890	An. Soc. esp. Hist. Nat.	original
1182270	Kirby. 1904. Syn. Cat. Orth. 1:315		Kirby	1904	Syn. Cat. Orth.	publication
1182270	Giglio-Tos. 1927. Tierreich 50:646		Giglio-Tos	1927	Tierreich	publication
1182270	Beier. 1934. Genera Insect. 197:7		Beier	1934	Genera Insect.	publication
1182270	Beier. 1964. Bronn’s Klass. Ordn. Tierreiches 5 3(6):954		Beier	1964	Bronn’s Klass. Ordn. Tierreiches	publication
1182270	Beier. 1968. Handb. Zool. 4((2) 2/12):12		Beier	1968	Handb. Zool.	publication
1182270	Ehrmann. 2002. Mantodea der Welt 78		Ehrmann	2002	Mantodea der Welt	publication
1182271	Giglio-Tos. 1917. Bull. Soc. ent. Ital. 48:71		Giglio-Tos	1917	Bull. Soc. ent. Ital.	original
1182271	Giglio-Tos. 1927. Tierreich 50:647		Giglio-Tos	1927	Tierreich	publication
1182271	Beier. 1930. Ann. Mag. nat. Hist. 10 6:460		Beier	1930	Ann. Mag. nat. Hist.	publication
1182271	Beier. 1934. Genera Insect. 197:7		Beier	1934	Genera Insect.	publication
1182271	Ehrmann. 2002. Mantodea der Welt 78		Ehrmann	2002	Mantodea der Welt	publication
1182272	Bolivar. 1890. An. Soc. esp. Hist. Nat. 19:306		Bolivar	1890	An. Soc. esp. Hist. Nat.	original
1182272	Kirby. 1904. Syn. Cat. Orth. 1:315		Kirby	1904	Syn. Cat. Orth.	publication
1182272	Beier. 1934. Genera Insect. 197:8		Beier	1934	Genera Insect.	publication
1182272	Paris. 1994[1993]. Eos 69:165		Paris	1994	Eos	publication
1182272	Ehrmann. 2002. Mantodea der Welt 78		Ehrmann	2002	Mantodea der Welt	publication
1182273	Schulthess. 1894. Zool. Jb., Syst. 8:72		Schulthess	1894	Zool. Jb., Syst.	original
1182273	Kirby. 1904. Syn. Cat. Orth. 1:315		Kirby	1904	Syn. Cat. Orth.	publication
1182273	Beier. 1934. Genera Insectorum 197:8		Beier	1934	Genera Insectorum	publication
1182273	Ehrmann. 2002. Mantodea der Welt 78		Ehrmann	2002	Mantodea der Welt	publication
1182274	Schulthess. 1894. Zool. Jb., Syst. 8:72		Schulthess	1894	Zool. Jb., Syst.	original
1182275	Schulthess. 1894. Zool. Jb., Syst. 8:72		Schulthess	1894	Zool. Jb., Syst.	original
1182275	Schulthess. 1898. Annali Mus. civ. Stor. nat. Genova 39:180		Schulthess	1898	Annali Mus. civ. Stor. nat. Genova	publication
1182275	Kirby. 1904. Syn. Cat. Orth. 1:315		Kirby	1904	Syn. Cat. Orth.	publication
1182275	Beier. 1934. Genera Insect. 197:8		Beier	1934	Genera Insect.	publication
1182275	Ehrmann. 2002. Mantodea der Welt 78		Ehrmann	2002	Mantodea der Welt	publication
1182275	Roy. 2004. Revue Francaise D’Entomologie. 26(1):1-18		Roy	2004	Revue Francaise D’Entomologie.	publication
1182276	Kevan. 1954. Ann. Mag. nat. Hist. 12 7:471		Kevan	1954	Ann. Mag. nat. Hist.	original
1182276	Marshall. 1975. Bull. Brit. Mus. (Nat. Hist.) Ent. 31(8):311-327		Marshall	1975	Bull. Brit. Mus. (Nat. Hist.) Ent.	publication
1182276	Ehrmann. 2002. Mantodea der Welt 78		Ehrmann	2002	Mantodea der Welt	publication
1182276	Roy. 2004. Revue Francaise D’Entomologie. 26(1):1-18		Roy	2004	Revue Francaise D’Entomologie.	publication
1182277	Beier. 1930. Ann. Mag. nat. Hist. 10 6:460		Beier	1930	Ann. Mag. nat. Hist.	original
1182277	Beier. 1934. Genera Insect. 197:8		Beier	1934	Genera Insect.	publication
1182277	Roy. 1964. Bull. Inst. fond. Afr. noire A 26:1177-		Roy	1964	Bull. Inst. fond. Afr. noire	publication
1182277	Roy. 1970. Bull. Inst. fond. Afr. noire 32:1019-		Roy	1970	Bull. Inst. fond. Afr. noire	publication
1182277	Marshall. 1975. Bull. Brit. Mus. (Nat. Hist.) Ent. 31(8):311-327		Marshall	1975	Bull. Brit. Mus. (Nat. Hist.) Ent.	publication
1182277	Prost & Roy. 1986. Bull. Inst. fond. Afr. noire A 45:89-		Prost & Roy	1986	Bull. Inst. fond. Afr. noire	publication
1182277	Ehrmann. 2002. Mantodea der Welt 78		Ehrmann	2002	Mantodea der Welt	publication
1182277	Roy. 2004. Revue Francaise D’Entomologie. 26(1):1-18		Roy	2004	Revue Francaise D’Entomologie.	publication
1182278	Werner. 1907. Sber. Akad. Wiss. Wien 116:248		Werner	1907	Sber. Akad. Wiss. Wien	original
1182278	Giglio-Tos. 1917. Bull. Soc. ent. Ital. 48:71		Giglio-Tos	1917	Bull. Soc. ent. Ital.	publication
1182278	Werner. 1918. Denk. K. Ak. Wiss. Wien 95:92		Werner	1918	Denk. K. Ak. Wiss. Wien	publication
1182278	Sjostedt. 1930. Ark. Zool. 21A(32):16		Sjostedt	1930	Ark. Zool.	publication
1182278	Beier. 1934. Genera Insect. 197:8		Beier	1934	Genera Insect.	publication
1182278	Ehrmann. 2002. Mantodea der Welt 78		Ehrmann	2002	Mantodea der Welt	publication
1182279	Rehn. 1902. Can. Ent. 34:316		Rehn	1902	Can. Ent.	original
1182279	Kirby. 1904. Syn. Cat. Orth. 1:315		Kirby	1904	Syn. Cat. Orth.	publication
1182279	Giglio-Tos. 1917. Bull. Soc. ent. Ital. 48:69		Giglio-Tos	1917	Bull. Soc. ent. Ital.	publication
1182279	Giglio-Tos. 1927. Tierreich 50:644		Giglio-Tos	1927	Tierreich	publication
1182279	Beier. 1934. Genera Insect. 197:7		Beier	1934	Genera Insect.	publication
1182279	Chopard. 1943. Faune Emp. fr. 1:86		Chopard	1943	Faune Emp. fr.	publication
1182279	Beier. 1964. Bronn’s Klass. Ordn. Tierreiches 5 3(6):954		Beier	1964	Bronn’s Klass. Ordn. Tierreiches	publication
1182279	Beier. 1968. Handb. Zool. 4((2) 2/12):12		Beier	1968	Handb. Zool.	publication
1182279	Ehrmann. 2002. Mantodea der Welt 79		Ehrmann	2002	Mantodea der Welt	publication
