taxonID	source	parentNameUsageID	scientificName	higherClassification	taxonRank
ICTV:20160389	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160389	ICTV:Jerseyvirus	Salmonella virus SETP13	Viruses|Caudovirales|Siphoviridae|Guernseyvirinae|Jerseyvirus	species
ICTV:20160390	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160390	ICTV:Jerseyvirus	Salmonella virus SP101	Viruses|Caudovirales|Siphoviridae|Guernseyvirinae|Jerseyvirus	species
ICTV:20160391	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160391	ICTV:Jerseyvirus	Salmonella virus SS3e	Viruses|Caudovirales|Siphoviridae|Guernseyvirinae|Jerseyvirus	species
ICTV:20160392	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160392	ICTV:Jerseyvirus	Salmonella virus wksl3	Viruses|Caudovirales|Siphoviridae|Guernseyvirinae|Jerseyvirus	species
ICTV:20160394	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160394	ICTV:K1gvirus	Escherichia virus K1G	Viruses|Caudovirales|Siphoviridae|Guernseyvirinae|K1gvirus	species
ICTV:20160395	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160395	ICTV:K1gvirus	Escherichia virus K1H	Viruses|Caudovirales|Siphoviridae|Guernseyvirinae|K1gvirus	species
ICTV:20160396	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160396	ICTV:K1gvirus	Escherichia virus K1ind1	Viruses|Caudovirales|Siphoviridae|Guernseyvirinae|K1gvirus	species
ICTV:20160397	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160397	ICTV:K1gvirus	Escherichia virus K1ind2	Viruses|Caudovirales|Siphoviridae|Guernseyvirinae|K1gvirus	species
ICTV:20160399	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160399	ICTV:Sp31virus	Salmonella virus SP31	Viruses|Caudovirales|Siphoviridae|Guernseyvirinae|Sp31virus	species
ICTV:20160714	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160714	ICTV:Bongovirus	Mycobacterium virus Bongo	Viruses|Caudovirales|Siphoviridae|Mclasvirinae|Bongovirus	species
ICTV:20160715	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160715	ICTV:Reyvirus	Mycobacterium virus Rey	Viruses|Caudovirales|Siphoviridae|Mclasvirinae|Reyvirus	species
ICTV:20160444	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160444	ICTV:Bignuzvirus	Mycobacterium virus Bignuz	Viruses|Caudovirales|Siphoviridae|Pclasvirinae|Bignuzvirus	species
ICTV:20164962	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20164962	ICTV:Fishburnevirus	Mycobacterium virus Brusacoram	Viruses|Caudovirales|Siphoviridae|Pclasvirinae|Fishburnevirus	species
ICTV:20164963	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20164963	ICTV:Fishburnevirus	Mycobacterium virus Donovan	Viruses|Caudovirales|Siphoviridae|Pclasvirinae|Fishburnevirus	species
ICTV:20164964	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20164964	ICTV:Fishburnevirus	Mycobacterium virus Fishburne	Viruses|Caudovirales|Siphoviridae|Pclasvirinae|Fishburnevirus	species
