id	description	type
1199161	This species has a Parasite/Host ecological relationship with genus Elephas maximus.	associations
1199161	This species has a Parasite/Host ecological relationship with genus Loxodonta africana.	associations
1199162	This species has a Parasite/Host ecological relationship with genus Phacochoerus aethiopicus.	associations
1199163	This species has a Parasite/Host ecological relationship with genus Potamochoerus porcus.	associations
1191648	Terrestrial.	habitat
1191649	Terrestrial.	habitat
1191650	Terrestrial.	habitat
1191651	Terrestrial.	habitat
1191653	Terrestrial.	habitat
1191654	Terrestrial.	habitat
1191655	Terrestrial.	habitat
1191656	Terrestrial.	habitat
1191657	Terrestrial.	habitat
1191658	Terrestrial.	habitat
1191659	Terrestrial.	habitat
1191660	Terrestrial.	habitat
1191661	Terrestrial.	habitat
1191662	Terrestrial.	habitat
1191663	Terrestrial.	habitat
1191664	Terrestrial.	habitat
1191665	Terrestrial.	habitat
1191666	Terrestrial.	habitat
1191667	Terrestrial.	habitat
1191668	Terrestrial.	habitat
1191669	Terrestrial.	habitat
1191670	Terrestrial.	habitat
1191671	Terrestrial.	habitat
1191672	Terrestrial.	habitat
1191673	Terrestrial.	habitat
1191674	Terrestrial.	habitat
1191675	Terrestrial.	habitat
1191676	Terrestrial.	habitat
1191677	Terrestrial.	habitat
1191678	Terrestrial.	habitat
1191679	Terrestrial.	habitat
1191680	Terrestrial.	habitat
1191681	Terrestrial.	habitat
1191682	Terrestrial.	habitat
1191683	Terrestrial.	habitat
1191684	Terrestrial.	habitat
1191685	Terrestrial.	habitat
1191686	Terrestrial.	habitat
1191687	Terrestrial.	habitat
1191688	Terrestrial.	habitat
1191689	Terrestrial.	habitat
1191690	Terrestrial.	habitat
1191691	Terrestrial.	habitat
1191692	Terrestrial.	habitat
1191693	Terrestrial.	habitat
1191694	Terrestrial.	habitat
1191695	Terrestrial.	habitat
1191696	Terrestrial.	habitat
1191697	Terrestrial.	habitat
1191698	Terrestrial.	habitat
1191699	Terrestrial.	habitat
1191700	Terrestrial.	habitat
1191701	Terrestrial.	habitat
1191702	Terrestrial.	habitat
1191703	Terrestrial.	habitat
1191704	Terrestrial.	habitat
1191705	Terrestrial.	habitat
