uid	|	name	|	type	|	rank	|	
1200000	|	Steleoxiphus	|	synonym	|		|	
1200015	|	Antongilia coronata	|	synonym	|		|	
1200017	|	Bacteria spinigera	|	synonym	|		|	
1200017	|	Bacteria spinosa	|	synonym	|		|	
1200031	|	Canuleius 24-spinosus	|	synonym	|		|	
1200033	|	Canuleius 20-spinosus	|	synonym	|		|	
1200037	|	Acanthoderus auritus	|	synonym	|		|	
1200045	|	Ceroys auritus	|	synonym	|		|	
1200008	|	Canuleiini	|	synonym	|		|	
1200057	|	Ceroys multispinosus	|	synonym	|		|	
1200076	|	Bacillus atticus caprai	|	synonym	|		|	
1200076	|	Bacillus atticus muelleri	|	synonym	|		|	
1200076	|	Bacillus atticus creticus	|	synonym	|		|	
1200076	|	Bacillus diplocarius	|	synonym	|		|	
1200082	|	Bacillus rhodius	|	synonym	|		|	
1200089	|	Epibacillus chopardi	|	synonym	|		|	
1200089	|	Clitumnus dentatus	|	synonym	|		|	
1200089	|	Mantis filiformis	|	synonym	|		|	
1200074	|	Epibacillus	|	synonym	|		|	
1200105	|	Bacillus affinis	|	synonym	|		|	
1200105	|	Bacillus granulatus	|	synonym	|		|	
1200105	|	Bacillus occidentalis	|	synonym	|		|	
1200114	|	Bacillus coccyx	|	synonym	|		|	
1200114	|	Phasma (Bacillus) longiscaphus	|	synonym	|		|	
1200114	|	Phalces longiscaphes	|	synonym	|		|	
1200123	|	Bacillus capensis	|	synonym	|		|	
1200123	|	Bacillus stellenboschus	|	synonym	|		|	
1200123	|	Macynia lobata	|	synonym	|		|	
1200133	|	Gratidia trispinosa	|	synonym	|		|	
1200138	|	Antongilia quadrituberculata	|	synonym	|		|	
1200138	|	Antongilia chopardi	|	synonym	|		|	
1200141	|	Antongilia 4-tuberculata	|	synonym	|		|	
1200144	|	Antongilia echinops	|	synonym	|		|	
1200144	|	Onogastris exsiccata	|	synonym	|		|	
1200151	|	Batycharax	|	synonym	|		|	
1200151	|	Bothycharax	|	synonym	|		|	
1200167	|	Xylica 4-spinosa	|	synonym	|		|	
1200170	|	Parabacillus	|	synonym	|		|	
1200201	|	Anisacantha vidua	|	synonym	|		|	
1200216	|	Orobia	|	synonym	|		|	
1200234	|	Orobia melanocephalum	|	synonym	|		|	
1200197	|	Anisacanthini	|	synonym	|		|	
1200252	|	Heteropteryx	|	synonym	|		|	
1200254	|	Heteropteryx dipsacus	|	synonym	|		|	
1200254	|	Heteropteryx dehaani	|	synonym	|		|	
1200258	|	Heteropteryx australis	|	synonym	|		|	
1200263	|	Haaniella muelleri simplex	|	synonym	|		|	
1200265	|	Haaniella erringtoniae novaeguineae	|	synonym	|		|	
1200268	|	Haaniella echidna	|	synonym	|		|	
1200268	|	Heteropteryx grayi	|	synonym	|		|	
1200268	|	Heteropteryx saussurei	|	synonym	|		|	
1200273	|	Leocrates	|	synonym	|		|	
1200275	|	Heteropteryx castelnaudi	|	synonym	|		|	
1200275	|	Phasma (Eurycantha) graciosa	|	synonym	|		|	
1200275	|	Heteropteryx hopei	|	synonym	|		|	
1200275	|	Heteropteryx rollandi	|	synonym	|		|	
1200252	|	Miniopteryx	|	synonym	|		|	
1200374	|	Trachyaretaon manobo	|	synonym	|		|	
1200373	|	Hennobrimus	|	synonym	|		|	
1200374	|	Hennobrimus hennemanni	|	synonym	|		|	
1200283	|	Obrimi	|	synonym	|		|	
1200283	|	Eubulidini	|	synonym	|		|	
1200322	|	Eubalides	|	synonym	|		|	
1229515	|	Hoploclonia abercrombiei	|	synonym	|		|	
1229515	|	Hoploclonia abercrombei	|	synonym	|		|	
1229515	|	Hoploclonia apiensis	|	synonym	|		|	
1229515	|	Dares (Epidares) haematacanthus	|	synonym	|		|	
