id	typeStatus	typeDesignatedBy	scientificName	institutionCode	catalogNumber	locality	sex	recordedBy	verbatimEventDate	verbatimLongitude	verbatimLatitude
1200375	typeGenus	Karny. 1923. Zur Nomenklatur der Phasmoiden. Treubia 3(2):230-242	Therameninae Karny, 1923								
1200377	typeGenus	Rehn, J.A.G. & J.W.H. Rehn. 1939[1938]. The Orthoptera of the Philippine Islands. Part I. - Phasmatidae: Obriminae. Proceedings of the Academy of Natural Sciences of Philadelphia (Proc. Acad. Nat. Sci. Philad.) 90:389-487, pls. 31-38	Datamini Rehn & Rehn, 1939								
1200439	typeGenus	Brunner von Wattenwyl. 1893. Révision du Système des Orthoptères et description des espèces rapportées par M. Leonardo Fea de Birmanie. Annali del Museo Civico di Storia Naturale Giacomo Doria, Genova (2)13(33):1-230	Phylliidae Brunner von Wattenwyl, 1893								
1200516	typeGenus	Zompro & Grösser. 2003. A generic revision of the insect order Phasmatodea: The genera of the areolate stick insect family Phylliidae (Walking Leaves). (Insecta, Orthoptera). Spixiana 26(2):129-141	Nanophylliini Zompro & Grösser, 2003								
1200523	typeGenus	Gray, G.R. 1835. Synopsis of the species of insects belonging to the family of Phasmidae., Longman, Rees, Orme, Brown, Green & Longman, London 1-48	Phasmatidae Gray, 1835								
1200923	typeGenus	Karny. 1923. Zur Nomenklatur der Phasmoiden. Treubia 3(2):230-242	Prisomerinae Karny, 1923								
1200924	typeGenus	Brunner von Wattenwyl. 1893. Révision du Système des Orthoptères et description des espèces rapportées par M. Leonardo Fea de Birmanie. Annali del Museo Civico di Storia Naturale Giacomo Doria, Genova (2)13(33):1-230	Lonchodidae Brunner von Wattenwyl, 1893								
1200925	typeGenus	Hennemann & Conle. 2008. Revision of Oriental Phasmatodea: The tribe Pharnaciini Günther, 1953, including the description of the world's longest insect, and a survey of the family Phasmatidae Gray, 1835 with keys to the subfamilies and tribes (Phasmatodea: "Anareolatae": Phasmatidae), Zootaxa 1906:1-316	Neohiraseini Hennemann & Conle, 2008								
1200966	typeGenus	Günther. 1953. Über die taxonomische Gliederung und die geographische Verbreitung der Insektenordnung der Phasmatodea. Beiträge zur Entomologie, Berlin 3(5):541-563	Baculini Günther, 1953								
1201032	typeGenus	Karny. 1923. Zur Nomenklatur der Phasmoiden. Treubia 3(2):230-242	Cladoxerinae Karny, 1923								
1201033	typeGenus	Günther. 1953. Über die taxonomische Gliederung und die geographische Verbreitung der Insektenordnung der Phasmatodea. Beiträge zur Entomologie, Berlin 3(5):541-563	Cranidiini Günther, 1953								
1201083	typeGenus	Brunner von Wattenwyl. 1893. Révision du Système des Orthoptères et description des espèces rapportées par M. Leonardo Fea de Birmanie. Annali del Museo Civico di Storia Naturale Giacomo Doria, Genova (2)13(33):1-230	Cladomorphidae Brunner von Wattenwyl, 1893								
1201084	typeGenus	Redtenbacher. 1908. Die Insektenfamilie der Phasmiden. III. Phasmidae Anareolatae (Phibalosomini, Acrophyllini, Necrosciini)., Verlag Engelmann, Leipzig 3:339-589, pls 16-27	Phibalosomini Redtenbacher, 1908								
1201238	typeGenus	Brunner von Wattenwyl. 1893. Révision du Système des Orthoptères et description des espèces rapportées par M. Leonardo Fea de Birmanie. Annali del Museo Civico di Storia Naturale Giacomo Doria, Genova (2)13(33):1-230	Eurycanthae Brunner von Wattenwyl, 1893								
1201240	typeGenus	Günther. 1953. Über die taxonomische Gliederung und die geographische Verbreitung der Insektenordnung der Phasmatodea. Beiträge zur Entomologie, Berlin 3(5):541-563	Acanthomimini Günther, 1953								
1201262	typeGenus	Bradley & Galil. 1977. The taxonomic arrangement of the Phasmatodea with keys to the subfamilies and tribes. Proceedings of the Entomological Society, Washington 79(2):176-208	Acanthoxylini Bradley & Galil, 1977								
1201401	typeGenus	Redtenbacher. 1908. Die Insektenfamilie der Phasmiden. III. Phasmidae Anareolatae (Phibalosomini, Acrophyllini, Necrosciini)., Verlag Engelmann, Leipzig 3:339-589, pls 16-27	Acrophyllini Redtenbacher, 1908								
1201402	typeGenus	Günther. 1953. Über die taxonomische Gliederung und die geographische Verbreitung der Insektenordnung der Phasmatodea. Beiträge zur Entomologie, Berlin 3(5):541-563	Achriopterini Günther, 1953								
1201421	typeGenus	Günther. 1953. Über die taxonomische Gliederung und die geographische Verbreitung der Insektenordnung der Phasmatodea. Beiträge zur Entomologie, Berlin 3(5):541-563	Stephanacridini Günther, 1953								
1201485	typeGenus	Brunner von Wattenwyl. 1893. Révision du Système des Orthoptères et description des espèces rapportées par M. Leonardo Fea de Birmanie. Annali del Museo Civico di Storia Naturale Giacomo Doria, Genova (2)13(33):1-230	Platycraninae Brunner von Wattenwyl, 1893								
1201647	typeGenus	Brunner von Wattenwyl. 1893. Révision du Système des Orthoptères et description des espèces rapportées par M. Leonardo Fea de Birmanie. Annali del Museo Civico di Storia Naturale Giacomo Doria, Genova (2)13(33):1-230	Monandropterae Brunner von Wattenwyl, 1893								
1201648	typeGenus	Brunner von Wattenwyl. 1893. Révision du Système des Orthoptères et description des espèces rapportées par M. Leonardo Fea de Birmanie. Annali del Museo Civico di Storia Naturale Giacomo Doria, Genova (2)13(33):1-230	Tropidoderi Brunner von Wattenwyl, 1893								
1201649	typeGenus	Hennemann & Conle. 2008. Revision of Oriental Phasmatodea: The tribe Pharnaciini Günther, 1953, including the description of the world's longest insect, and a survey of the family Phasmatidae Gray, 1835 with keys to the subfamilies and tribes (Phasmatodea: "Anareolatae": Phasmatidae), Zootaxa 1906:1-316	Gigantophasmatini Hennemann & Conle, 2008								
1201653	typeGenus	Günther. 1953. Über die taxonomische Gliederung und die geographische Verbreitung der Insektenordnung der Phasmatodea. Beiträge zur Entomologie, Berlin 3(5):541-563	Xeroderinae Günther, 1953								
1201722	typeGenus	Sellick. 1997. The range of egg capsule morphology within the Phasmatodea and its relevance to the taxonomy of the order. Italian Journal of Zoology 64:97-104	Extatosomatinae Sellick, 1997								
1201734	typeGenus	Günther. 1953. Über die taxonomische Gliederung und die geographische Verbreitung der Insektenordnung der Phasmatodea. Beiträge zur Entomologie, Berlin 3(5):541-563	Pharnaciini Günther, 1953								
1202096	typeGenus	Brunner von Wattenwyl. 1893. Révision du Système des Orthoptères et description des espèces rapportées par M. Leonardo Fea de Birmanie. Annali del Museo Civico di Storia Naturale Giacomo Doria, Genova (2)13(33):1-230	Clitumnidae Brunner von Wattenwyl, 1893								
