scientificName
Neornithes
Paleognathae
Neognathae
Neoaves
Struthioniformes
Struthionidae
Crypturellus cinnamomeus soconuscensis Brodkorb, 1939
Crypturellus cinnamomeus vicinior Conover, 1933
Crypturellus cinnamomeus sallaei (Bonaparte, 1856)
Crypturellus cinnamomeus goldmani (Nelson, 1901)
Crypturellus cinnamomeus cinnamomeus (Lesson, PA, 1842)
Crypturellus cinnamomeus delattrii (Bonaparte, 1854)
Crypturellus cinnamomeus praepes (Bangs & Peters, JL, 1927)
Crypturellus boucardi (Sclater, PL, 1860)
Crypturellus boucardi boucardi (Sclater, PL, 1860)
Crypturellus boucardi costaricensis (Dwight & Griscom, 1924)
Crypturellus kerriae (Chapman, 1915)
Crypturellus variegatus (Gmelin, JF, 1789)
Crypturellus brevirostris (Pelzeln, 1863)
Crypturellus bartletti (Sclater, PL & Salvin, 1873)
Crypturellus parvirostris (Wagler, 1827)
Crypturellus casiquiare (Chapman, 1929)
Crypturellus tataupa (Temminck, 1815)
Crypturellus tataupa inops Bangs & Noble, 1918
Crypturellus tataupa lepidotus (Swainson, 1837)
Crypturellus tataupa peruvianus (Cory, 1915)
Crypturellus tataupa tataupa (Temminck, 1815)
Rhynchotus von Spix, 1825
Rhynchotus rufescens (Temminck, 1815)
Rhynchotus rufescens catingae Reiser, 1905
Rhynchotus rufescens pallescens Kothe, 1907
Rhynchotus rufescens rufescens (Temminck, 1815)
Rhynchotus maculicollis Gray, GR, 1867
Nothoprocta Sclater, PL & Salvin, 1873
Nothoprocta taczanowskii Sclater, PL & Salvin, 1875
Nothoprocta ornata (Gray, GR, 1867)
Nothoprocta ornata branickii Taczanowski, 1875
Nothoprocta ornata ornata (Gray, GR, 1867)
Nothoprocta ornata rostrata von Berlepsch, 1907
Nothoprocta perdicaria (Kittlitz, 1830)
Nothoprocta perdicaria perdicaria (Kittlitz, 1830)
Nothoprocta perdicaria sanborni Conover, 1924
Nothoprocta cinerascens (Burmeister, 1860)
Nothoprocta cinerascens cinerascens (Burmeister, 1860)
Nothoprocta cinerascens parvimaculata Olrog, 1959
Nothoprocta pentlandii (Gray, GR, 1867)
Nothoprocta pentlandii ambigua Cory, 1915
Nothoprocta pentlandii niethammeri Koepcke, 1968
Nothoprocta pentlandii oustaleti von Berlepsch & Stolzmann, 1901
Nothoprocta pentlandii fulvescens von Berlepsch, 1902
Nothoprocta pentlandii pentlandii (Gray, GR, 1867)
Nothoprocta pentlandii patriciae Hoy, 1987
Nothoprocta pentlandii mendozae Banks & Bohl, 1968
Nothoprocta pentlandii doeringi Cabanis, 1878
Nothoprocta curvirostris Sclater, PL & Salvin, 1873
Nothoprocta curvirostris curvirostris Sclater, PL & Salvin, 1873
Nothoprocta curvirostris peruviana Taczanowski, 1886
Nothura Wagler, 1827
Nothura boraquira (von Spix, 1825)
Nothura minor (von Spix, 1825)
Nothura darwinii Gray, GR, 1867
Nothura darwinii peruviana von Berlepsch & Stolzmann, 1906
Nothura darwinii agassizii Bangs, 1910
Nothura darwinii boliviana Salvadori, 1895
Nothura darwinii salvadorii Hartert, 1909
Nothura darwinii darwinii Gray, GR, 1867
Nothura maculosa (Temminck, 1815)
Nothura maculosa cearensis Naumburg, 1932
Nothura maculosa major (von Spix, 1825)
Nothura maculosa paludivaga Conover, 1950
Nothura maculosa maculosa (Temminck, 1815)
Nothura maculosa pallida Olrog, 1959
Nothura maculosa annectens Conover, 1950
Nothura maculosa submontana Conover, 1950
Nothura maculosa nigroguttata Salvadori, 1895
Nothura chacoensis Conover, 1937
Taoniscus Gloger, 1842
Taoniscus nanus (Temminck, 1815)
Eudromia Geoffroy Saint-Hilaire, I, 1832
Eudromia elegans Geoffroy Saint-Hilaire, I, 1832
Eudromia elegans intermedia (Dabbene & Lillo, 1913)
Eudromia elegans magnistriata Olrog, 1959
Eudromia elegans riojana Olrog, 1959
Eudromia elegans albida (Wetmore, 1921)
Eudromia elegans wetmorei Banks, 1977
Eudromia elegans numida Banks, 1977
Eudromia elegans elegans Geoffroy Saint-Hilaire, I, 1832
Eudromia elegans multiguttata Conover, 1950
Eudromia elegans devia Conover, 1950
Eudromia elegans patagonica Conover, 1950
Eudromia formosa (Lillo, 1905)
Eudromia formosa formosa (Lillo, 1905)
Eudromia formosa mira Brodkorb, 1938
Tinamotis Vigors, 1837
Tinamotis pentlandii Vigors, 1837
Tinamotis ingoufi Oustalet, 1890
Anseriformes
Anhimidae
Anhima Brisson, 1760
Anhima cornuta (Linnaeus, 1766)
Chauna Illiger, 1811
Chauna chavaria (Linnaeus, 1766)
Chauna torquata (Oken, 1816)
Anseranatidae
Anseranas Lesson, R, 1828
Anseranas semipalmata (Latham, 1798)
Anatidae
Dendrocygna Swainson, 1837
Dendrocygna viduata (Linnaeus, 1766)
Dendrocygna autumnalis (Linnaeus, 1758)
Dendrocygna autumnalis fulgens Friedmann, 1947
Dendrocygna autumnalis autumnalis (Linnaeus, 1758)
Dendrocygna guttata Schlegel, 1866
Dendrocygna arborea (Linnaeus, 1758)
Dendrocygna bicolor (Vieillot, 1816)
Dendrocygna eytoni (Eyton, 1838)
Dendrocygna arcuata (Horsfield, 1824)
Dendrocygna arcuata arcuata (Horsfield, 1824)
Dendrocygna arcuata pygmaea Mayr, 1945
Dendrocygna arcuata australis Reichenbach, 1850
Dendrocygna javanica (Horsfield, 1821)
Thalassornis Eyton, 1838
Thalassornis leuconotus Eyton, 1838
Thalassornis leuconotus leuconotus Eyton, 1838
Thalassornis leuconotus insularis Richmond, 1897
Cereopsis Latham, 1801
Cereopsis novaehollandiae Latham, 1801
Cereopsis novaehollandiae novaehollandiae Latham, 1801
Cereopsis novaehollandiae grisea (Vieillot, 1818)
Branta Scopoli, 1769
Branta bernicla (Linnaeus, 1758)
Branta bernicla nigricans (Lawrence, 1846)
Branta bernicla bernicla (Linnaeus, 1758)
Branta bernicla hrota (Müller, OF, 1776)
Branta ruficollis (Pallas, 1769)
Branta sandvicensis (Vigors, 1834)
Branta canadensis (Linnaeus, 1758)
Branta canadensis occidentalis (Baird, SF, 1858)
Branta canadensis fulva Delacour, 1951
Branta canadensis maxima Delacour, 1951
Branta canadensis parvipes (Cassin, 1852)
Branta canadensis moffitti Aldrich, 1946
Branta canadensis interior Todd, 1938
Branta canadensis canadensis (Linnaeus, 1758)
Branta leucopsis (Bechstein, 1803)
Branta hutchinsii (Richardson, 1832)
Branta hutchinsii asiatica Aldrich, 1946
Branta hutchinsii leucopareia (von Brandt, JF, 1836)
Branta hutchinsii minima Ridgway, 1885
Branta hutchinsii taverneri Delacour, 1951
Branta hutchinsii hutchinsii (Richardson, 1832)
Anser Brisson, 1760
Anser indicus (Latham, 1790)
Anser canagicus (Sevastianov, 1802)
Anser rossii Cassin, 1861
Anser caerulescens (Linnaeus, 1758)
Anser caerulescens caerulescens (Linnaeus, 1758)
Anser caerulescens atlanticus (Kennard, 1927)
Anser anser (Linnaeus, 1758)
Anser anser anser (Linnaeus, 1758)
Anser anser rubrirostris Swinhoe, 1871
Anser cygnoides (Linnaeus, 1758)
Anser fabalis (Latham, 1787)
Anser fabalis fabalis (Latham, 1787)
Anser fabalis johanseni Delacour, 1951
Anser fabalis middendorffii Severtsov, 1873
Anser brachyrhynchus Baillon, 1834
Anser serrirostris Gould, 1852
Anser serrirostris rossicus Buturlin, 1933
Anser serrirostris serrirostris Gould, 1852
Anser albifrons (Scopoli, 1769)
Anser albifrons flavirostris Dalgety & Scott, P, 1948
Anser albifrons albifrons (Scopoli, 1769)
Anser albifrons elgasi Delacour & Ripley, 1975
Anser albifrons gambelli Hartlaub, 1852
Anser albifrons sponsa Banks, 2011
Anser erythropus (Linnaeus, 1758)
Coscoroba Reichenbach, 1853
Coscoroba coscoroba (Molina, 1782)
Cygnus Garsault, 1764
Cygnus atratus (Latham, 1790)
Cygnus melancoryphus (Molina, 1782)
Cygnus olor (Gmelin, JF, 1789)
Cygnus buccinator Richardson, 1831
Cygnus columbianus (Ord, 1815)
Cygnus columbianus columbianus (Ord, 1815)
Cygnus columbianus bewickii Yarrel, 1830
Cygnus cygnus (Linnaeus, 1758)
Stictonetta Reichenbach, 1853
Stictonetta naevosa (Gould, 1841)
Hymenolaimus Gray, GR, 1843
Hymenolaimus malacorhynchos (Gmelin, JF, 1789)
Tachyeres Owen, 1875
Tachyeres patachonicus (King, PP, 1831)
Tachyeres pteneres (Forster, JR, 1844)
Tachyeres brachypterus (Latham, 1790)
Tachyeres leucocephalus Humphrey & Thompson, 1981
Merganetta Gould, 1842
Merganetta armata Gould, 1842
Merganetta armata colombiana Des Murs, 1845
Merganetta armata leucogenis (Tschudi, 1843)
Merganetta armata turneri Sclater, PL & Salvin, 1869
Merganetta armata garleppi von Berlepsch, 1894
Merganetta armata berlepschi Hartert, 1909
Merganetta armata armata Gould, 1842
Plectropterus Stephens, 1824
Plectropterus gambensis (Linnaeus, 1766)
Plectropterus gambensis gambensis (Linnaeus, 1766)
Plectropterus gambensis niger Sclater, PL, 1877
Sarkidiornis Eyton, 1838
Sarkidiornis sylvicola von Ihering, H & von Ihering, R, 1907
Sarkidiornis melanotos (Pennant, 1769)
Cyanochen Bonaparte, 1856
Cyanochen cyanoptera (Rüppell, 1845)
Alopochen Stejneger, 1885
Alopochen aegyptiaca (Linnaeus, 1766)
Alopochen mauritiana (Newton, E & Gadow, 1893)
Alopochen kervazoi (Cowles, 1994)
Neochen Oberholser, 1918
Neochen jubata (von Spix, 1825)
Chloephaga Eyton, 1838
Chloephaga melanoptera (Eyton, 1838)
Chloephaga picta (Gmelin, JF, 1789)
Chloephaga picta picta (Gmelin, JF, 1789)
Chloephaga picta leucoptera (Gmelin, JF, 1789)
Chloephaga hybrida (Molina, 1782)
Chloephaga hybrida hybrida (Molina, 1782)
Chloephaga hybrida malvinarum Phillips, JC, 1916
Chloephaga poliocephala Sclater, PL, 1857
Chloephaga rubidiceps Sclater, PL, 1861
Tadorna Boie, F, 1822
Tadorna tadorna (Linnaeus, 1758)
