vernacularName	language	taxonID
Magpie Goose	en	e3ef2e65d071d480586ed4fc6adea4ea
Magpie Goose	en	69ead5b333afe5dae04b70b07044e2ca
Ducks, Geese and Swans	en	90b0fad7f91433f6e9a741b43dd357b0
White-faced Whistling Duck	en	f163fb74d56d5c6f745a09660ff0e848
Black-bellied Whistling Duck	en	a9019fb62029a67efb1036718b20e65f
Spotted Whistling Duck	en	a768842cf94a2137cf44481a84cf745e
West Indian Whistling Duck	en	0e8379a90afb541b40e46d318a925377
Fulvous Whistling Duck	en	0a183b85ac8e3219233b4ae5c380b26d
Plumed Whistling Duck	en	0ec921e96ee2827ad60b653886778a30
Wandering Whistling Duck	en	be434cbed61e1aed9c49d9059148dc83
Lesser Whistling Duck	en	9701a086b61ae68a37c6077eae06c51f
White-backed Duck	en	56e5d7793c8fddbdc9c858a4ccf2dd64
Cape Barren Goose	en	b2f15c7de7549f51d9ab1ce60b9dce62
Brant Goose	en	689eda2f1bf55b61b35d35793354b467
Red-breasted Goose	en	c7e7318ece3a3f0ac57fca92346060f4
Nene	en	082d54b2211bb991e71c2f5d9f816a33
Canada Goose	en	82650fa2def7657d25b0b6a759a1cbd8
Barnacle Goose	en	4790e779dd355a72410371601a397521
Cackling Goose	en	125b018d0197c9434c078fb24165404b
Bar-headed Goose	en	2a17da35614d080f48738ec2ef787b47
Emperor Goose	en	e1c5f437ecbff687943d00c64df241c8
Ross's Goose	en	be939b2ab881998601bba0cc44f54e80
Snow Goose	en	cce6b237f9ed907e21c200dc5e5f5b2e
Greylag Goose	en	97316024e2cc54c9196db4a378e775a0
Swan Goose	en	5042a559faa60eeda24090ea27331ad1
Taiga Bean Goose	en	fb701c09e633cb7d3f5c55700aee34fb
Pink-footed Goose	en	f7a0faab3cfe72b532741d6a05460534
Tundra Bean Goose	en	5760203f2a6e12e73bae247f31bfa68b
Greater White-fronted Goose	en	e853dbe0d96aa539013e3ba9937e7b90
Lesser White-fronted Goose	en	74efcbd52a490be2594cdf1f666277b3
Coscoroba Swan	en	ae2e6cb27a1357a039ebf037249ad096
Black Swan	en	1f9ca02bd192d251917aeb62132db75a
Black-necked Swan	en	7265e8a1e5cf87572893faa8c1cc75ee
Mute Swan	en	52a5ef2198049e8ea9f1f4b28ee5333c
Trumpeter Swan	en	436235e6c4ba75ca6f3593d6f0130337
Tundra Swan	en	0ee810ffb4bb8a9182e98b3cbe97e4a7
Whooper Swan	en	5f087936c1645766c061eaf38c42f6dd
Freckled Duck	en	0b2ada6b90fd779ac2b62843c26222b6
Blue Duck	en	13559d2c52f1f2444a22b6a24d9d3071
Flying Steamer Duck	en	7c3e2e959c9ce15102b501c755b7e270
Fuegian Steamer Duck	en	8234fe44a64a53487a0884754a84cc94
Falkland Steamer Duck	en	3d577ef4d11692bd6f3610947ca4a9e7
Chubut Steamer Duck	en	3c48a05d9ff85912bf98f2b3c9bb36e6
Torrent Duck	en	f527a57ef031733e2fbf8c8805136d76
Spur-winged Goose	en	b5dae2fa6e31b51097222d9742b952c6
Comb Duck	en	2a3812a5d767e002bad141a1fe6fed8c
Knob-billed Duck	en	90e6ed063de4107d496e92a9cdabec95
Blue-winged Goose	en	4d68c9a118f719fdc8484af3bdb391bd
Egyptian Goose	en	7f0c2965248c2ce1e1ed5152315058c3
Mauritius Sheldgoose	en	045470334bab01827bac2afeb90d76de
Reunion Sheldgoose	en	645713093554aac0d7c5b9db9aa6d552
Orinoco Goose	en	c56feabf877a0728eb98630138dc5d53
Andean Goose	en	413945ac3097aca546b7bc25444509c7
Upland Goose	en	08d1a49c5d5b0443671022452de56421
Kelp Goose	en	434f3d7f215b6179b7c017a57ff1e81e
Ashy-headed Goose	en	4615afceb8351cf6e9914cbce410b453
Ruddy-headed Goose	en	c999ffaaff7b760bd3aba8082afe3941
Common Shelduck	en	548787319f30d15d96e9d0bad938d132
Raja Shelduck	en	46d060fbea93c33e670f3e7332180cd5
