id	vernacularName	language
1100049	Kurzfühlerschrecken	German
1100049	grasshoppers	English
1100055	mud crickets	English
1100164	sandgropers	English
1100190	pygmy mole crickets	English
1100190	Grabschrecken	German
1100268	Minute Pygmy Locust	English
1100286	Larger Pygmy Locust	English
1100377	Le Tridactyle panaché	English
1100379	Pfändlers Grabschrecke	German
1100379	Le Tridactyle genevois	French
1100422	pygmy grasshoppers	English
1100422	Dornschrecken	German
1100424	pygmy grasshoppers	English
1100424	Dornschrecken	German
1100424	grouse locusts	English
1100516	Torreya Pygmy Grasshopper	English
1100535	Sedge Grouse Locust	English
1100545	Spined Grouse Locust	English
1102021	Northern Crested Grouse Locust	English
1102172	Le Tétrix déprimé	French
1102377	Hooded Grouse Locust	English
1102406	Le Tétrix des plages	French
1102406	Mittelmeer-Dornschrecke	German
1102497	Zweipunkt-Dornschrecke	German
1102497	Two-spotted Groundhopper	English
1102497	Le Tétrix calcicole	French
1102512	Le Tétrix caucasien	French
1102512	Le Tétrix de Bolivar	French
1102512	Bolivars Dornschrecke	German
1102517	Brunner's Grouse Locust	English
1102535	Sierra Pygmy Grasshopper	English
1102541	Säbel-Dornschrecke	German
1102541	Slender Ground-hopper	English
1102541	Slender Grouse Locust	English
1102541	Le Tétrix riverain	French
1102563	Langfühler-Dornschrecke	German
1102563	Long-horned Groundhopper	English
1102563	Le Tétrix des sablières	French
1102563	Le Tétrix des carrières	French
1102569	Gemeine Dornschrecke	German
1102569	Common Groundhopper	English
1102569	Le Tétrix forestier	French
1102569	common ground-hopper	English
1102584	Obscure Grouse Locust	English
1102592	Ornate Grouse Locust	English
1102604	Westliche Dornschrecke	German
1102604	Cepero's ground-hopper	English
1102604	Le Tétrix des vasières	French
1102625	Türks Dornschrecke	German
1102625	Le Tétrix grisâtre	French
1102980	Feldheuschrecken	German
1102980	grasshoppers	English
1103022	Le Criquet des marais	French
1103022	Le Criquet cylindrique	French
1103071	Ödlandschrecken	German
1103071	band-winged grasshoppers	English
1103075	Migratory Locust	English
1103075	Europäische Wanderheuschrecke	German
1103075	Le Criquet migrateur	French
1103084	African Migratory Locust	English
1103125	Yellow-winged Locust	English
1103186	Brown Locust	English
1103192	Eastern Oedaleus	English
1103222	Kreuzschrecke	German
1103222	l'Oedipode soufrée	French
1103244	Rotflüglige Schnarrschrecke	German
1103244	L'Oedipode stridulante	French
1103244	Le Criquet stridulant	French
1103244	Rattle Grasshopper	English
1103246	Gelbe Schnarrheuschrecke	German
1103310	Braune Strandschrecke	German
1103310	l'Oedipode automnale	French
1103310	Le Criquet farouche	French
1103316	Grüne Strandschrecke	German
1103316	L'Oedipode émeraudine	French
1103367	Vlei Grasshopper	English
1103375	Dreifarbschrecke	German
1103375	Le Criquet tricolore	French
1103393	Long-legged Bandwing	English
1103431	Fluss-Strandschrecke	German
