id	typeStatus	typeDesignatedBy	scientificName	institutionCode	catalogNumber	locality	sex	recordedBy	verbatimEventDate	verbatimLongitude	verbatimLatitude
1220603	holotype	Zompro & Adis. 2006. Notes on Namibian Mantophasma Zompro, Klass, Kristensen & Adis, 2002, with descriptions of three new species (Insecta: Mantophasmatodea: Mantophasmatidae: Mantophasmatini). Russian Entomological Journal (Russ.Entomol.J.) 15(1):21-24	Mantophasma gamsbergense Zompro & Adis, 2006	NMNW		Southern Africa, Namibia, Namibia: Gamsberg, southern slope; 2208 meters	female	leg. T.L. Bird	March 25, 2006	E 16.226111	S 23.347222
1220604	holotype	Zompro & Adis. 2006. Notes on Namibian Mantophasma Zompro, Klass, Kristensen & Adis, 2002, with descriptions of three new species (Insecta: Mantophasmatodea: Mantophasmatidae: Mantophasmatini). Russian Entomological Journal (Russ.Entomol.J.) 15(1):21-24	Mantophasma kudubergense Zompro & Adis, 2006	NMNW		Southern Africa, Namibia, Namibia: Erongo Mts., Kuduberg, Mosich Farm; 1550 meters	male	leg. E. Marais	April 4, 2002	E 15.758889	S 21.678333
1220605	holotype	Zompro & Adis. 2006. Notes on Namibian Mantophasma Zompro, Klass, Kristensen & Adis, 2002, with descriptions of three new species (Insecta: Mantophasmatodea: Mantophasmatidae: Mantophasmatini). Russian Entomological Journal (Russ.Entomol.J.) 15(1):21-24	Mantophasma omatakoense Zompro & Adis, 2006	NMNW		Southern Africa, Namibia, Namibia: Omatako-Farm between Otjiwarongo and Okahandja	male	leg. C. Grohmann	April 10, 2005	E 16.742222	S 21.353333
1220606	holotype	Klass, Picker, Damgaard, van Noort & Tojo. 2003. The Taxonomy, Genitalic Morphology, and Phylogenetic Relationships of Southern African Mantophasmatodea (Insecta). Entomologische Abhandlungen 61(1):3-67	Sclerophasma paresisensis Klass, Picker, Damgaard, van Noort & Tojo, 2003	NMNW	Pa1?	Southern Africa, Namibia, Namibia: Paresisberg, Otjiwarango District	male	T. Bird	May 1, 2002	E 16.466700	S 20.600000
1220607	holotype	Zompro & Adis. 2002. In Zompro, Adis & Weitschat. A Review of the Order Mantophasmatodea (Insecta). Zoologischer Anzeiger (Zool. Anz.) 241	Praedatophasma maraisi Zompro & Adis, 2002	NMNW		Southern Africa, Namibia, Namibia: Karasburg Region	male	E. Marais, C. Roberts	August 10, 1990		
1220609	holotype	Klass, Picker, Damgaard, van Noort & Tojo. 2003. The Taxonomy, Genitalic Morphology, and Phylogenetic Relationships of Southern African Mantophasmatodea (Insecta). Entomologische Abhandlungen 61(1):3-67	Austrophasma caledonensis Klass, Picker, Damgaard, van Noort & Tojo, 2003	SAMC	C11?	Southern Africa, Cape Province, Western Cape Province: Near Caledon; 320 meters	male	S. van Noort	September 16, 2002	E 19.000000	S 34.283300
1220610	holotype	Klass, Picker, Damgaard, van Noort & Tojo. 2003. The Taxonomy, Genitalic Morphology, and Phylogenetic Relationships of Southern African Mantophasmatodea (Insecta). Entomologische Abhandlungen 61(1):3-67	Austrophasma gansbaaiensis Klass, Picker, Damgaard, van Noort & Tojo, 2003	SAMC		Southern Africa, Cape Province, Western Cape Province: Grootbos, near Gansbaai; 360 meters	female	M. Picker, J. Colville, A. Roberts	August 8, 2002	E 19.000000	S 34.483300
1220611	holotype	Klass, Picker, Damgaard, van Noort & Tojo. 2003. The Taxonomy, Genitalic Morphology, and Phylogenetic Relationships of Southern African Mantophasmatodea (Insecta). Entomologische Abhandlungen 61(1):3-67	Austrophasma rawsonvillensis Klass, Picker, Damgaard, van Noort & Tojo, 2003	SAMC	Ra2?	Southern Africa, Cape Province, Western Cape Province: 8 km E Rawsonville; 240 meters	male	M. Picker, K.-D. Klass & K. Tojo	September 14, 2002	E 19.500000	S 34.200000
1220612	holotype	Klass, Picker, Damgaard, van Noort & Tojo. 2003. The Taxonomy, Genitalic Morphology, and Phylogenetic Relationships of Southern African Mantophasmatodea (Insecta). Entomologische Abhandlungen 61(1):3-67	Lobophasma redelinghuysensis Klass, Picker, Damgaard, van Noort & Tojo, 2003	SAMC	Re2?	Southern Africa, Cape Province, Western Cape Province: 4 km N Redelinghuys; 120 meters	male	M. Picker, S. van Noort, J. Colville & A. Roberts	June 9, 2002	E 18.916700	S 32.750000
1220613	holotype	Klass, Picker, Damgaard, van Noort & Tojo. 2003. The Taxonomy, Genitalic Morphology, and Phylogenetic Relationships of Southern African Mantophasmatodea (Insecta). Entomologische Abhandlungen 61(1):3-67	Hemilobophasma montaguensis Klass, Picker, Damgaard, van Noort & Tojo, 2003	SAMC	Mo1?	Southern Africa, Cape Province, Western Cape Province: near Avalon Springs, Montagu; 691 meters	female	M. Picker	July 27, 2002	E 20.216700	S 34.333300
1220614	holotype	Klass, Picker, Damgaard, van Noort & Tojo. 2003. The Taxonomy, Genitalic Morphology, and Phylogenetic Relationships of Southern African Mantophasmatodea (Insecta). Entomologische Abhandlungen 61(1):3-67	Karoophasma biedouwensis Klass, Picker, Damgaard, van Noort & Tojo, 2003	SAMC	Bi2?	Southern Africa, Cape Province, Western Cape Province: Biedouw Valley; 300 meters	male	M. Picker, K.-D. Klass, K. Tojo	September 3, 2002	E 19.416700	S 32.133300
1220615	holotype	Klass, Picker, Damgaard, van Noort & Tojo. 2003. The Taxonomy, Genitalic Morphology, and Phylogenetic Relationships of Southern African Mantophasmatodea (Insecta). Entomologische Abhandlungen 61(1):3-67	Karoophasma botterkloofensis Klass, Picker, Damgaard, van Noort & Tojo, 2003	SAMC	Bo1?	Southern Africa, Cape Province, Northern Cape Province: Onder Bokkeveld, Botterkloof Pass; 720 meters	male	M. Picker, K.-D. Klass & K. Tojo	September 5, 2002	E 19.466700	S 32.316700
1220616	holotype	Klass, Picker, Damgaard, van Noort & Tojo. 2003. The Taxonomy, Genitalic Morphology, and Phylogenetic Relationships of Southern African Mantophasmatodea (Insecta). Entomologische Abhandlungen 61(1):3-67	Namaquaphasma ookiepensis Klass, Picker, Damgaard, van Noort & Tojo, 2003	SAMC	Ok1?	Southern Africa, Cape Province, Northern Cape Province: "Namaqual.[and] / Ookiep; 950 meters	male	R. Lightfort	September 1, 1890	E 17.883300	S 29.600000
1220690	holotype	Huang, Nel, Zompro & Waller. 2008. Mantophasmatodea now in the Jurassic. Naturwissenschaften 95(10):947-952	Juramantophasma sinica Huang, Nel, Zompro & Waller, 2008	NIGP	NIGP 142171a, b	China, Inner Mongolia: Jiulongshan Formation at Daohugou, Ningcheng County	female				
1220699	holotype	Wipfler, Pohl & Predel. 2012. Two new genera and two new species of Mantophasmatodea (Insecta, Polyneoptera) from Namibia. Zookeys 166:75–98, Figs. 2-10	Striatophasma naukluftense Wipfler, Pohl & Predel, 2012	NMNW		Southern Africa, Namibia, Namibia: Naukluft Mountains, northern slope.; 1200 meters	male	R. Predel	May 4, 2006	E 16.320000	S 24.150000
1220701	holotype	Wipfler, Pohl & Predel. 2012. Two new genera and two new species of Mantophasmatodea (Insecta, Polyneoptera) from Namibia. Zookeys 166:75–98, Figs. 2-10	Pachyphasma brandbergense Wipfler, Pohl & Predel, 2012	NMNW		Southern Africa, Namibia, Namibia: Brandberg Plateau, south of Königstein, with sclerophyllous  vegetation.; 2000 meters	male	R. Predel	April 26, 2006	E 14.580000	S 21.160000
