id	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	scientificName	namePublishedIn	kingdom	taxonRank	scientificNameAuthorship	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	modified
1220585	1220585	urn:lsid:Mantophasmatodea.speciesfile.org:TaxonName:469048	1220585	1220577	Raptophasma	Zompro. 2001. The Phasmatodea and Raptophasma n. gen., Orthoptera incertae sedis, in Baltic Amber (Insecta: Orthoptera). Mitteilungen des Geologisch-Paläontologischen Institutes der Universität Hamburg (Mitt. Geol. Paläont. Inst. Univ. Hamb.) 85:229-261	Animalia	genus	Zompro, 2001	ICZN	valid			2013-07-20T16:40:00
1220586	1220586	urn:lsid:Mantophasmatodea.speciesfile.org:TaxonName:469044	1220586	1220578	Adicophasma spinosa	Engel & Grimaldi. 2004. A New Rock Crawler in Baltic Amber, with Comments on the Order (Mantophasmatodea: Mantophasmatidae). American Museum Novitates 3431:11 pp., 4 figs., 1 tbl.	Animalia	species	Engel & Grimaldi, 2004	ICZN	valid			2013-07-20T16:40:00
1220587	1220587	urn:lsid:Mantophasmatodea.speciesfile.org:TaxonName:469043	1220587	1220578	Adicophasma grylloblattoides	Arillo & Engel. 2006. Rock Crawlers in Baltic Amber (Notoptera: Mantophasmatodea). American Museum Novitates 3539:10 pp. 5 figs., 2 tbls.	Animalia	species	Arillo & Engel, 2006	ICZN	valid			2015-01-12T12:12:00
1220588	1220588	urn:lsid:Mantophasmatodea.speciesfile.org:TaxonName:469040	1220588	1220579	Ensiferophasma velociraptor	Zompro. 2005. Inter- and intra-ordinal relationships of the Mantophasmatodea, with comments on the phylogeny of polyneopteran orders (Insecta: Polyneoptera). Mitteilungen aus dem Geologisch-Palaeontologischen Institut der Universitaet Hamburg 89:85-116	Animalia	species	Zompro, 2005	ICZN	valid			2015-01-12T12:12:00
1220589	1220589	urn:lsid:Mantophasmatodea.speciesfile.org:TaxonName:469089	1220589	1220581	Tanzaniophasma subsolana	Zompro, Klass, Kristensen & Adis. 2002. In Klass, Zompro, Kristensen & Adis. Mantophasmatodea: A New Insect Order with Extant Members in the Afrotropics. Science 296	Animalia	species	(Zompro, Klass, Kristensen & Adis, 2002)	ICZN	valid			2015-12-02T11:43:00
1220590	1220590	urn:lsid:Mantophasmatodea.speciesfile.org:TaxonName:469082	1220590	1220582	Mantophasma	Zompro, Klass, Kristensen & Adis. 2002. In Klass, Zompro, Kristensen & Adis. Mantophasmatodea: A New Insect Order with Extant Members in the Afrotropics. Science 296	Animalia	genus	Zompro, Klass, Kristensen & Adis, 2002	ICZN	valid			2015-12-02T11:43:00
1220591	1220591	urn:lsid:Mantophasmatodea.speciesfile.org:TaxonName:469079	1220591	1220582	Sclerophasma	Klass, Picker, Damgaard, van Noort & Tojo. 2003. The Taxonomy, Genitalic Morphology, and Phylogenetic Relationships of Southern African Mantophasmatodea (Insecta). Entomologische Abhandlungen 61(1):3-67	Animalia	genus	Klass, Picker, Damgaard, van Noort & Tojo, 2003	ICZN	valid			2015-12-02T11:43:00
1220592	1220592	urn:lsid:Mantophasmatodea.speciesfile.org:TaxonName:469076	1220592	1220583	Praedatophasma	Zompro & Adis. 2002. In Zompro, Adis & Weitschat. A Review of the Order Mantophasmatodea (Insecta). Zoologischer Anzeiger (Zool. Anz.) 241	Animalia	genus	Zompro & Adis, 2002	ICZN	valid			2015-12-02T11:43:00
1220593	1220593	urn:lsid:Mantophasmatodea.speciesfile.org:TaxonName:469074	1220593	1220583	Tyrannophasma	Zompro. 2003. In Zompro, Adis, Bragg, Naskrecki, Meakin, Wittneben & Saxe. A new genus and species of Mantophasmatidae (Insecta: Mantophasmatodea) from the Brandberg Massif, Namibia, with notes on behaviour. Cimbebasia 19(December)	Animalia	genus	Zompro, 2003	ICZN	valid			2015-12-02T11:43:00
1220594	1220594	urn:lsid:Mantophasmatodea.speciesfile.org:TaxonName:469072	1220584	1220576	Austrophasmatidae	Klass, Picker, Damgaard, van Noort & Tojo. 2003. The Taxonomy, Genitalic Morphology, and Phylogenetic Relationships of Southern African Mantophasmatodea (Insecta). Entomologische Abhandlungen 61(1):3-67	Animalia	family	Klass, Picker, Damgaard, van Noort & Tojo, 2003	ICZN	junior synonym			2015-12-02T11:43:00
