id	bibliographicCitation	title	creator	date	source	type
1180053	Sharp. 1895. The Cambridge Natural History. Chapter VIII Orthoptera 202-219	The Cambridge Natural History. Chapter VIII Orthoptera	Sharp	1895		publication
1180053	Vishnyakova. 1980. Earwigs (Insecta, Forficulida) from the Upper Jurassic of the Karatau Range. PALEONTOLOGICHESKII ZHURNAL 1980(1):78-94	Earwigs (Insecta, Forficulida) from the Upper Jurassic of the Karatau Range	Vishnyakova	1980	PALEONTOLOGICHESKII ZHURNAL	publication
1180054	Srivastava. 1975. Notes on the Indian species of the genus Irdex Burr (Dermaptera: Labiidae). Tiwari KK and Srivastava CB [Eds] Dr BS Chauhan commemoration volume 1975 Zoological Society of India Vani Vihar Orissa India i-viii:275	Notes on the Indian species of the genus Irdex Burr (Dermaptera: Labiidae)	Srivastava	1975	Tiwari KK and Srivastava CB [Eds] Dr BS Chauhan commemoration volume 1975 Zoological Society of India Vani Vihar Orissa India	original
1180055	Srivastava. 1975. Notes on the Indian species of the genus Irdex Burr (Dermaptera: Labiidae). Tiwari KK and Srivastava CB [Eds] Dr BS Chauhan commemoration volume 1975 Zoological Society of India Vani Vihar Orissa India i-viii:273	Notes on the Indian species of the genus Irdex Burr (Dermaptera: Labiidae)	Srivastava	1975	Tiwari KK and Srivastava CB [Eds] Dr BS Chauhan commemoration volume 1975 Zoological Society of India Vani Vihar Orissa India	original
1180056	Srivastava. 1975. Notes on the Indian species of the genus Irdex Burr (Dermaptera: Labiidae). Tiwari KK and Srivastava CB [Eds] Dr BS Chauhan commemoration volume 1975 Zoological Society of India Vani Vihar Orissa India i-viii:270	Notes on the Indian species of the genus Irdex Burr (Dermaptera: Labiidae)	Srivastava	1975	Tiwari KK and Srivastava CB [Eds] Dr BS Chauhan commemoration volume 1975 Zoological Society of India Vani Vihar Orissa India	original
1180057	Brindle. 1978. Dermaptera from Kashmir and Ladakh. (Insecta). Senckenbergiana biologica 58(3-4):204	Dermaptera from Kashmir and Ladakh. (Insecta)	Brindle	1978	Senckenbergiana biologica	publication
1180058	Steinmann. 1987. Dermaptera of Venezuela. Decu V Orghidan T Dancau D Bordon C Linares O Urbani F Tronchoni J and Bosque C [Eds] Fauna hipogea y hemiedafica de Venezuela y de otros paises de America del Sur Editura Academiei Republicii Socialiste Romania Bucarest 1987:Chapter pagination 165-172	Dermaptera of Venezuela	Steinmann	1987	Decu V Orghidan T Dancau D Bordon C Linares O Urbani F Tronchoni J and Bosque C [Eds] Fauna hipogea y hemiedafica de Venezuela y de otros paises de America del Sur Editura Academiei Republicii Socialiste Romania Bucarest	original
1180060	Steinmann. 1987. Dermaptera of Venezuela. Decu V Orghidan T Dancau D Bordon C Linares O Urbani F Tronchoni J and Bosque C [Eds] Fauna hipogea y hemiedafica de Venezuela y de otros paises de America del Sur Editura Academiei Republicii Socialiste Romania Bucarest 1987:Chapter pagination 165-172	Dermaptera of Venezuela	Steinmann	1987	Decu V Orghidan T Dancau D Bordon C Linares O Urbani F Tronchoni J and Bosque C [Eds] Fauna hipogea y hemiedafica de Venezuela y de otros paises de America del Sur Editura Academiei Republicii Socialiste Romania Bucarest	original
1180061	Steinmann. 1987. Dermaptera of Venezuela. Decu V Orghidan T Dancau D Bordon C Linares O Urbani F Tronchoni J and Bosque C [Eds] Fauna hipogea y hemiedafica de Venezuela y de otros paises de America del Sur Editura Academiei Republicii Socialiste Romania Bucarest 1987:Chapter pagination 165-172	Dermaptera of Venezuela	Steinmann	1987	Decu V Orghidan T Dancau D Bordon C Linares O Urbani F Tronchoni J and Bosque C [Eds] Fauna hipogea y hemiedafica de Venezuela y de otros paises de America del Sur Editura Academiei Republicii Socialiste Romania Bucarest	original
1180062	Steinmann. 1987. Dermaptera of Venezuela. Decu V Orghidan T Dancau D Bordon C Linares O Urbani F Tronchoni J and Bosque C [Eds] Fauna hipogea y hemiedafica de Venezuela y de otros paises de America del Sur Editura Academiei Republicii Socialiste Romania Bucarest 1987:Chapter pagination 165-172	Dermaptera of Venezuela	Steinmann	1987	Decu V Orghidan T Dancau D Bordon C Linares O Urbani F Tronchoni J and Bosque C [Eds] Fauna hipogea y hemiedafica de Venezuela y de otros paises de America del Sur Editura Academiei Republicii Socialiste Romania Bucarest	original
1180063	Steinmann. 1980. A revision of the species belonging in Forcipula Bolivar, 1897 (Dermaptera: Labiduridae). Acta Zoologica Academiae Scientiarum Hungaricae (Acta Zool. Hung. ) 26(1-3):229-252	A revision of the species belonging in Forcipula Bolivar, 1897 (Dermaptera: Labiduridae)	Steinmann	1980	Acta Zoologica Academiae Scientiarum Hungaricae (Acta Zool. Hung. )	original
1180064	Steinmann. 1980. A revision of the species belonging in Forcipula Bolivar, 1897 (Dermaptera: Labiduridae). Acta Zoologica Academiae Scientiarum Hungaricae (Acta Zool. Hung. ) 26(1-3):229-252	A revision of the species belonging in Forcipula Bolivar, 1897 (Dermaptera: Labiduridae)	Steinmann	1980	Acta Zoologica Academiae Scientiarum Hungaricae (Acta Zool. Hung. )	original
1180065	Steinmann. 1986. A new generic classification for the Diplatys species-groups (Dermaptera: Pygidicranidae). Acta Zoologica Academiae Scientiarum Hungaricae (Acta Zool. Hung. ) 32(1-2):71	A new generic classification for the Diplatys species-groups (Dermaptera: Pygidicranidae)	Steinmann	1986	Acta Zoologica Academiae Scientiarum Hungaricae (Acta Zool. Hung. )	original
1180066	Steinmann. 1986. A new generic classification for the Diplatys species-groups (Dermaptera: Pygidicranidae). Acta Zoologica Academiae Scientiarum Hungaricae (Acta Zool. Hung. ) 32(1-2):169-179	A new generic classification for the Diplatys species-groups (Dermaptera: Pygidicranidae)	Steinmann	1986	Acta Zoologica Academiae Scientiarum Hungaricae (Acta Zool. Hung. )	original
