index	taxonID	acceptedNameUsageID	parentNameUsageID	scientificName	taxonRank	taxonomicStatus
Chandonanthus	Chandonanthus	Chandonanthus	Anastrophyllaceae	Chandonanthus	genus	accepted
Crossocalyx	Crossocalyx	Crossocalyx	Anastrophyllaceae	Crossocalyx	genus	accepted
Gymnocolea	Gymnocolea	Gymnocolea	Anastrophyllaceae	Gymnocolea	genus	accepted
Hamatostrepta	Hamatostrepta	Hamatostrepta	Anastrophyllaceae	Hamatostrepta	genus	accepted
Hattoria	Hattoria	Hattoria	Anastrophyllaceae	Hattoria	genus	not verified
Isopaches	Isopaches	Isopaches	Anastrophyllaceae	Isopaches	genus	accepted
Neoorthocaulis	Neoorthocaulis	Neoorthocaulis	Anastrophyllaceae	Neoorthocaulis	genus	accepted
Orthocaulis	Orthocaulis	Orthocaulis	Anastrophyllaceae	Orthocaulis	genus	accepted
Plicanthus	Plicanthus	Plicanthus	Anastrophyllaceae	Plicanthus	genus	not verified
Schizophyllopsis	Schizophyllopsis	Schizophyllopsis	Anastrophyllaceae	Schizophyllopsis	genus	accepted
Schljakovia	Schljakovia	Schljakovia	Anastrophyllaceae	Schljakovia	genus	accepted
Schljakovianthus	Schljakovianthus	Schljakovianthus	Anastrophyllaceae	Schljakovianthus	genus	accepted
Sphenolobopsis	Sphenolobopsis	Sphenolobopsis	Anastrophyllaceae	Sphenolobopsis	genus	accepted
Sphenolobus	Sphenolobus	Sphenolobus	Anastrophyllaceae	Sphenolobus	genus	accepted
Tetralophozia	Tetralophozia	Tetralophozia	Anastrophyllaceae	Tetralophozia	genus	accepted
Zantenia	Zantenia	Zantenia	Anastrophyllaceae	Zantenia	genus	accepted
Cephaloziaceae	Cephaloziaceae	Cephaloziaceae	Cephaloziineae	Cephaloziaceae	family	accepted
Alobielloideae	Alobielloideae	Alobielloideae	Cephaloziaceae	Alobielloideae	subfamily	not verified
Alobiella	Alobiella	Alobiella	Alobielloideae	Spruce	genus	accepted
Alobiellopsis	Alobiellopsis	Alobiellopsis	Alobielloideae	Alobiellopsis	genus	not verified
Cephalozioideae	Cephalozioideae	Cephalozioideae	Cephaloziaceae	Cephalozioideae	subfamily	not verified
Cephalozia	Cephalozia	Cephalozia	Cephalozioideae	Cephalozia	genus	accepted
Fuscocephaloziopsis	Fuscocephaloziopsis	Fuscocephaloziopsis	Cephalozioideae	Fuscocephaloziopsis	genus	accepted
Nowellia	Nowellia	Nowellia	Cephalozioideae	Nowellia	genus	accepted
Odontoschismatoideae	Odontoschismatoideae	Odontoschismatoideae	Cephaloziaceae	Odontoschismatoideae	subfamily	not verified
Odontoschisma	Odontoschisma	Odontoschisma	Odontoschismatoideae	Odontoschisma	genus	accepted
Schiffnerioideae	Schiffnerioideae	Schiffnerioideae	Cephaloziaceae	Schiffnerioideae	subfamily	not verified
Schiffneria	Schiffneria	Schiffneria	Schiffnerioideae	Schiffneria	genus	accepted
Trabacelluloideae	Trabacelluloideae	Trabacelluloideae	Cephaloziaceae	Trabacelluloideae	subfamily	not verified
Haesselia	Haesselia	Haesselia	Trabacelluloideae	Haesselia	genus	not verified
Trabacellula	Trabacellula	Trabacellula	Trabacelluloideae	Trabacellula	genus	not verified
Cephaloziellaceae	Cephaloziellaceae	Cephaloziellaceae	Cephaloziineae	Cephaloziellaceae	family	accepted
Allisoniella	Allisoniella	Allisoniella	Cephaloziellaceae	Allisoniella	genus	accepted
Amphicephalozia	Amphicephalozia	Amphicephalozia	Cephaloziellaceae	Amphicephalozia	genus	accepted
Anastrophyllopsis	Anastrophyllopsis	Anastrophyllopsis	Cephaloziellaceae	Anastrophyllopsis	genus	accepted
Cephalojonesia	Cephalojonesia	Cephalojonesia	Cephaloziellaceae	Cephalojonesia	genus	not verified
Cephalomitrion	Cephalomitrion	Cephalomitrion	Cephaloziellaceae	Cephalomitrion	genus	not verified
Cephaloziella	Cephaloziella	Cephaloziella	Cephaloziellaceae	Spruce	genus	accepted
Cephaloziopsis	Cephaloziopsis	Cephaloziopsis	Cephaloziellaceae	Spruce	genus	accepted
Chaetophyllopsis	Chaetophyllopsis	Chaetophyllopsis	Cephaloziellaceae	Chaetophyllopsis	genus	not verified
Cylindrocolea	Cylindrocolea	Cylindrocolea	Cephaloziellaceae	Cylindrocolea	genus	not verified
Gottschelia	Gottschelia	Gottschelia	Cephaloziellaceae	Gottschelia	genus	accepted
Gymnocoleopsis	Gymnocoleopsis	Gymnocoleopsis	Cephaloziellaceae	Gymnocoleopsis	genus	accepted
Herzogobryum	Herzogobryum	Herzogobryum	Cephaloziellaceae	Herzogobryum	genus	accepted
Kymatocalyx	Kymatocalyx	Kymatocalyx	Cephaloziellaceae	Kymatocalyx	genus	not verified
Lophonardia	Lophonardia	Lophonardia	Cephaloziellaceae	Lophonardia	genus	accepted
Nothogymnomitrion	Nothogymnomitrion	Nothogymnomitrion	Cephaloziellaceae	Nothogymnomitrion	genus	accepted
Obtusifolium	Obtusifolium	Obtusifolium	Cephaloziellaceae	Obtusifolium	genus	accepted
Oleolophozia	Oleolophozia	Oleolophozia	Cephaloziellaceae	Oleolophozia	genus	accepted
Phycolepidozia	Phycolepidozia	Phycolepidozia	Cephaloziellaceae	Phycolepidozia	genus	not verified
Protolophozia	Protolophozia	Protolophozia	Cephaloziellaceae	Protolophozia	genus	accepted
Lophoziaceae	Lophoziaceae	Lophoziaceae	Cephaloziineae	Lophoziaceae	family	accepted
Andrewsianthus	Andrewsianthus	Andrewsianthus	Lophoziaceae	Andrewsianthus	genus	accepted
Gerhildiella	Gerhildiella	Gerhildiella	Lophoziaceae	Gerhildiella	genus	not verified
Heterogemma	Heterogemma	Heterogemma	Lophoziaceae	Heterogemma	genus	accepted
Lophozia	Lophozia	Lophozia	Lophoziaceae	Lophozia	genus	accepted
Lophoziopsis	Lophoziopsis	Lophoziopsis	Lophoziaceae	Lophoziopsis	genus	not verified
Pseudocephaloziella	Pseudocephaloziella	Pseudocephaloziella	Lophoziaceae	Pseudocephaloziella	genus	not verified
Trilophozia	Trilophozia	Trilophozia	Lophoziaceae	Trilophozia	genus	accepted
Tritomaria	Tritomaria	Tritomaria	Lophoziaceae	Tritomaria	genus	accepted
Scapaniaceae	Scapaniaceae	Scapaniaceae	Cephaloziineae	Scapaniaceae	family	accepted
Diplophyllum	Diplophyllum	Diplophyllum	Scapaniaceae	Diplophyllum	genus	accepted
Douinia	Douinia	Douinia	Scapaniaceae	Douinia	genus	accepted
Pseudotritomaria	Pseudotritomaria	Pseudotritomaria	Scapaniaceae	Pseudotritomaria	genus	not verified
Saccobasis	Saccobasis	Saccobasis	Scapaniaceae	Saccobasis	genus	not verified
Scapania	Scapania	Scapania	Scapaniaceae	Scapania	genus	accepted
Schistochilopsis	Schistochilopsis	Schistochilopsis	Scapaniaceae	Schistochilopsis	genus	accepted
Jungermanniineae	Jungermanniineae	Jungermanniineae	Jungermanniales	Jungermanniineae	suborder	accepted
Acrobolbaceae	Acrobolbaceae	Acrobolbaceae	Jungermanniineae	Acrobolbaceae	family	accepted
Enigmella	Enigmella	Enigmella	Acrobolbaceae	Enigmella	genus	not verified
Acrobolboideae	Acrobolboideae	Acrobolboideae	Acrobolbaceae	Acrobolboideae	subfamily	not verified
Acrobolbus	Acrobolbus	Acrobolbus	Acrobolboideae	Acrobolbus	genus	accepted
Austrolophozioideae	Austrolophozioideae	Austrolophozioideae	Acrobolbaceae	Austrolophozioideae	subfamily	not verified
Austrolophozia	Austrolophozia	Austrolophozia	Austrolophozioideae	Austrolophozia	genus	not verified
Goebelobryum	Goebelobryum	Goebelobryum	Austrolophozioideae	Goebelobryum	genus	accepted
Lethocoleoideae	Lethocoleoideae	Lethocoleoideae	Acrobolbaceae	Lethocoleoideae	subfamily	not verified
Lethocolea	Lethocolea	Lethocolea	Lethocoleoideae	Lethocolea	genus	accepted
Saccogynidioideae	Saccogynidioideae	Saccogynidioideae	Acrobolbaceae	Saccogynidioideae	subfamily	not verified
Saccogynidium	Saccogynidium	Saccogynidium	Saccogynidioideae	Saccogynidium	genus	accepted
Antheliaceae	Antheliaceae	Antheliaceae	Jungermanniineae	Antheliaceae	family	accepted
Anthelia	Anthelia	Anthelia	Antheliaceae	Anthelia	genus	accepted
Arnelliaceae	Arnelliaceae	Arnelliaceae	Jungermanniineae	Arnelliaceae	family	accepted
Arnellia	Arnellia	Arnellia	Arnelliaceae	Arnellia	genus	accepted
Balantiopsidaceae	Balantiopsidaceae	Balantiopsidaceae	Jungermanniineae	Balantiopsidaceae	family	accepted
Acroscyphella	Acroscyphella	Acroscyphella	Balantiopsidaceae	Acroscyphella	genus	accepted
Pseudoisotachis	Pseudoisotachis	Pseudoisotachis	Balantiopsidaceae	Pseudoisotachis	genus	not verified
Balantiopsidoideae	Balantiopsidoideae	Balantiopsidoideae	Balantiopsidaceae	Balantiopsidoideae	subfamily	accepted
Balantiopsis	Balantiopsis	Balantiopsis	Balantiopsidoideae	Balantiopsis	genus	accepted
Isotachidoideae	Isotachidoideae	Isotachidoideae	Balantiopsidaceae	Isotachidoideae	subfamily	accepted
Isotachis	Isotachis	Isotachis	Isotachidoideae	Isotachis	genus	accepted
