uid	|	name	|	type	|	rank	|	
1186722	|	Noliphus spinosus	|	synonym	|		|	
1186730	|	Paryphes tibialis	|	synonym	|		|	
1186729	|	Coristenia	|	synonym	|		|	
1186237	|	Alydides	|	synonym	|		|	
1186740	|	Hyocephalinae	|	synonym	|		|	
1186750	|	Coreides	|	synonym	|		|	
1186752	|	Pseudophloeida	|	synonym	|		|	
1186754	|	Clavigrallaria	|	synonym	|		|	
1186770	|	Clavigralla flavipennis	|	synonym	|		|	
1186774	|	Clavigralla muricata	|	synonym	|		|	
1186776	|	Clavigralla hystricoides	|	synonym	|		|	
1186781	|	Acanthomia mixta	|	synonym	|		|	
1186799	|	Acanthomia brevirostris	|	synonym	|		|	
1186805	|	Clavigralla tomenticollis	|	synonym	|		|	
1186756	|	Acanthomia	|	synonym	|		|	
1186756	|	Lancha	|	synonym	|		|	
1186817	|	Clavigralla tuberculata	|	synonym	|		|	
1186817	|	Clavigralla spinigera	|	synonym	|		|	
1186827	|	Clavigralla spinofemoralis	|	synonym	|		|	
1186841	|	Clavigralla similis	|	synonym	|		|	
1186752	|	Pseudophloeina	|	synonym	|		|	
1186752	|	Pseudophloeadae	|	synonym	|		|	
1186752	|	Pseudophloeidae	|	synonym	|		|	
1186752	|	Petsanocotinae	|	synonym	|		|	
1186850	|	Clavigralla acanthion	|	synonym	|		|	
1186850	|	Centrocoris westwoodii	|	synonym	|		|	
1186854	|	Vilga spinosula	|	synonym	|		|	
1186889	|	Neohoplolomia typica	|	synonym	|		|	
1186887	|	Neohoplolomia	|	synonym	|		|	
1186887	|	Psilocoris	|	synonym	|		|	
1186908	|	Clavigralla concolor	|	synonym	|		|	
1186913	|	Mevaniomorpha reuteri	|	synonym	|		|	
1186917	|	Mevanidea granulifera	|	synonym	|		|	
1186917	|	Mevaniella kilimana	|	synonym	|		|	
1186916	|	Mevaniella	|	synonym	|		|	
1186916	|	Mevania	|	synonym	|		|	
1186924	|	Bothrostethus rufulus	|	synonym	|		|	
1186924	|	Ceraleptus brevicornis	|	synonym	|		|	
1186927	|	Gonocerus annulipes	|	synonym	|		|	
1186929	|	Bothrostethus elevatus subinermis	|	synonym	|		|	
1186923	|	Anoplacerus	|	synonym	|		|	
1186933	|	Bothrostethus annulipes sabulicola	|	synonym	|		|	
1186936	|	Merocoris spinolae	|	synonym	|		|	
1186936	|	Coriomeris spinolae fraudatrix	|	synonym	|		|	
1186936	|	Coriomeris planicornis	|	synonym	|		|	
1186936	|	Coriomeris aegyptius	|	synonym	|		|	
1186942	|	Coriomeris alticola	|	synonym	|		|	
1186942	|	Coriomeris scabricornis perlatus	|	synonym	|		|	
1186949	|	Cimex spinosulus	|	synonym	|		|	
1186949	|	Coreus pilicornis	|	synonym	|		|	
1186949	|	Coreus wolfi	|	synonym	|		|	
1186949	|	Coriomeris denticulatus granulatus	|	synonym	|		|	
1186949	|	Cimex spinosomarginatus	|	synonym	|		|	
1186949	|	Cimex fimbriatus	|	synonym	|		|	
1186949	|	Cimex denticulatus	|	synonym	|		|	
1186949	|	Cimex immaculatus	|	synonym	|		|	
1186949	|	Coreus spiniger	|	synonym	|		|	
1186960	|	Coreus hirsutus	|	synonym	|		|	
1186960	|	Dasycoris dorsalis	|	synonym	|		|	
1186960	|	Coriomeris hirticornis burlinii	|	synonym	|		|	
1186966	|	Coriomeris nebulivagus	|	synonym	|		|	
1186970	|	Coriomeris pilosus	|	synonym	|		|	
1186973	|	Coreus scabricollis	|	synonym	|		|	
1186973	|	Coriomeris nigridens	|	synonym	|		|	
1186973	|	Merocoris serratus	|	synonym	|		|	
1186935	|	Merocoris	|	synonym	|		|	
1186935	|	Dasycoris	|	synonym	|		|	
1186984	|	Coreus alternans	|	synonym	|		|	
1186984	|	Coreus brevicornis	|	synonym	|		|	
1186984	|	Coreus dufourii	|	synonym	|		|	
1186984	|	Loxocnemis perlatus perlatus	|	synonym	|		|	
1186990	|	Coreus clavicornis	|	synonym	|		|	
1186990	|	Atractus genei	|	synonym	|		|	
1186990	|	Pseudophloeus obscurus	|	synonym	|		|	
1186990	|	Strobilotoma typhaecornis divergens	|	synonym	|		|	
1186996	|	Coreus neglectus	|	synonym	|		|	
1186996	|	Ceraleptus maculatus	|	synonym	|		|	
1186996	|	Aoplochilus marginatus	|	synonym	|		|	
1186995	|	Aoplochilus	|	synonym	|		|	
1187002	|	Ulmicola spinipes unicolor	|	synonym	|		|	
1187005	|	Pseudophloeus dentipes	|	synonym	|		|	
1187005	|	Bathysolen nubilus grisescens	|	synonym	|		|	
1187005	|	Bathysolen nubilus melanescens	|	synonym	|		|	
1187011	|	Coreus fahlenii	|	synonym	|		|	
1187011	|	Pseudophloeus falleni clericus	|	synonym	|		|	
1187011	|	Atractus literatus	|	synonym	|		|	
1187011	|	Pseudophloeus egenus	|	synonym	|		|	
1187016	|	Pseudophloeus angustus	|	synonym	|		|	
1187016	|	Pseudophloeus gestroi	|	synonym	|		|	
1187020	|	Coreus hispanus	|	synonym	|		|	
1187020	|	Pseudophloeus auriculatus	|	synonym	|		|	
1187010	|	Pseudophloeus	|	synonym	|		|	
1187010	|	Ammocoris	|	synonym	|		|	
1187010	|	Psammocoris	|	synonym	|		|	
1187010	|	Boudicca	|	synonym	|		|	
1187032	|	Coreus gracilicornis	|	synonym	|		|	
1187032	|	Arenocoris tibialis	|	synonym	|		|	
1187035	|	Coreus difficilis	|	synonym	|		|	
1187038	|	Arenocoris aegyptius	|	synonym	|		|	
1187038	|	Ceraleptus squalidus	|	synonym	|		|	
1187038	|	Ceraleptus distinguendus	|	synonym	|		|	
1187038	|	Ceraleptus leptocerus	|	synonym	|		|	
1187038	|	Ceraleptus bellieri	|	synonym	|		|	
1187038	|	Ceraleptus obtusus armeniacus	|	synonym	|		|	
1187029	|	Ceratoleptus	|	synonym	|		|	
1187029	|	Molus	|	synonym	|		|	
1187029	|	Coraleptus	|	synonym	|		|	
1187058	|	Myla (Myla) graciloides	|	synonym	|		|	
1187061	|	Myla nigrispina	|	synonym	|		|	
1186752	|	Arenocorinae	|	synonym	|		|	
1187089	|	Alydus gracilipes	|	synonym	|		|	
1187089	|	Hydara gracilicornis	|	synonym	|		|	
1187103	|	Madura fusco-clavata	|	synonym	|		|	
1187069	|	Hydararidae	|	synonym	|		|	
1187069	|	Hydararini	|	synonym	|		|	
1187069	|	Hydarini	|	synonym	|		|	
1187069	|	Hydararia	|	synonym	|		|	
1187114	|	Mammurius	|	synonym	|		|	
1187120	|	Spartocera lampyroides	|	synonym	|		|	
1187122	|	Lygaeus quadripustulatus	|	synonym	|		|	
1187124	|	Sephina atra	|	synonym	|		|	
1187128	|	Sephina grayi	|	synonym	|		|	
1187128	|	Sephina gundlachi	|	synonym	|		|	
1187141	|	Lygaeus caedemadeus	|	synonym	|		|	
1187143	|	Spartocerus bicolor	|	synonym	|		|	
1187143	|	Spartocerus bimaculatus	|	synonym	|		|	
1187143	|	Paryphes diabolicus	|	synonym	|		|	
1187143	|	Sephina erythromelaena	|	synonym	|		|	
1187153	|	Lygaeus novempunctatus	|	synonym	|		|	
1187153	|	Discogaster rubronotatus	|	synonym	|		|	
1187119	|	Saphina	|	synonym	|		|	
1187119	|	Sephina (Pyrrhocosmia)	|	synonym	|		|	
1187119	|	Sephima	|	synonym	|		|	
1187161	|	Spartocera ortonedai	|	synonym	|		|	
1187163	|	Reduvius moestus	|	synonym	|		|	
1187163	|	Spartocerus geniculatus	|	synonym	|		|	
1187163	|	Spartocerus serrulatus	|	synonym	|		|	
1187163	|	Spartocerus lateritius	|	synonym	|		|	
1187163	|	Spartocerus affinis	|	synonym	|		|	
1187163	|	Spartocera fosca	|	synonym	|		|	
1187160	|	Corecoris	|	synonym	|		|	
1187160	|	Spartocerus	|	synonym	|		|	
1187175	|	Spartocerus intermedius	|	synonym	|		|	
1187175	|	Coreus gigas	|	synonym	|		|	
1187175	|	Coreus (Coreocoris) batates	|	synonym	|		|	
1187175	|	Spartocera batata	|	synonym	|		|	
1187183	|	Spartocerus subfulvus	|	synonym	|		|	
1187192	|	Spartocera chilensis	|	synonym	|		|	
1187160	|	Coreocoris	|	synonym	|		|	
1187197	|	Lygaeus compressicorn	|	synonym	|		|	
1187199	|	Molchina molitor	|	synonym	|		|	
1187199	|	Euplatycoris bellicornis	|	synonym	|		|	
1187202	|	Molchina spinosa	|	synonym	|		|	
1187204	|	Molchina linnaei	|	synonym	|		|	
1187196	|	Euplatycoris	|	synonym	|		|	
1187196	|	Molchine	|	synonym	|		|	
1187217	|	Crinocerus subtomentosus	|	synonym	|		|	
1187222	|	Spartocera costicollis	|	synonym	|		|	
1187210	|	Eubale	|	synonym	|		|	
1187232	|	Menenotus unicolor	|	synonym	|		|	
1187232	|	Coreus cornutus	|	synonym	|		|	
1187232	|	Menenotus recurvus	|	synonym	|		|	
1187232	|	Coreus (Coreocoris) lunulatus	|	synonym	|		|	
1187118	|	Spartocérides	|	synonym	|		|	
1187118	|	Spartocerides	|	synonym	|		|	
1187118	|	Spartoceroidae	|	synonym	|		|	
1187118	|	Spartoceriden	|	synonym	|		|	
1187118	|	Spartoceridae	|	synonym	|		|	
1187118	|	Spartocerida	|	synonym	|		|	
1187118	|	Spartocerina	|	synonym	|		|	
1187118	|	Spartocoridae	|	synonym	|		|	
1187118	|	Spartoceraria	|	synonym	|		|	
1187118	|	Spartocerinae	|	synonym	|		|	
1187118	|	Menenotaria	|	synonym	|		|	
1187118	|	Corecorini	|	synonym	|		|	
1187255	|	Paryphes suturellus	|	synonym	|		|	
1187253	|	Homoeoceroides	|	synonym	|		|	
1187266	|	Savius diazonalis	|	synonym	|		|	
1187253	|	Saxius	|	synonym	|		|	
1187273	|	Coryzoplatus pallens	|	synonym	|		|	
1187276	|	Pistocus oralis	|	synonym	|		|	
1187276	|	Hypselonotus mundus	|	synonym	|		|	
1187281	|	Hypselonotus signatus	|	synonym	|		|	
1187275	|	Pistocus	|	synonym	|		|	
1187294	|	Scamurius consors	|	synonym	|		|	
1187294	|	Homoeoceroides incongruus	|	synonym	|		|	
